metric,channel,n,n_missing,mean,median,ci_low,ci_high,ci_halfwidth
loss,delta_prop,30,0,0.009476597242347506,0.00892213852023177,0.0076517661130723275,0.011432541982426157,0.0018903879346769147
loss,delta_rec,30,0,0.00865222795453321,0.007685561287012754,0.006337317325606034,0.011130924790444573,0.0023968037324192696
loss,delta_int,30,0,0.07591413105390421,0.06327702994659662,0.040448458803183596,0.13213016363839358,0.045840852417604994
loss,total,30,0,0.09404295625078492,0.08091568723388981,0.0567627612092736,0.15219686287651096,0.047717050833618685
Lambda,delta_prop,30,0,0.04605625703294495,0.02734243988964763,0.030033854448235406,0.06618296250169403,0.018074554026729313
Lambda,delta_rec,30,0,0.0,0.0,0.0,0.0,0.0
Lambda,delta_int,30,0,0.0,0.0,0.0,0.0,0.0
Lambda,total,30,0,0.04605625703294495,0.02734243988964763,0.030033854448235406,0.06618296250169403,0.018074554026729313
T_rec,delta_prop,30,0,1.6666666666666667,0.0,0.3333333333333333,3.0,1.3333333333333333
T_rec,delta_rec,30,0,104.66666666666667,100.0,78.66666666666667,132.33333333333334,26.833333333333336
T_rec,delta_int,12,18,15.0,20.0,-1.6666666666666667,26.666666666666668,14.166666666666668
T_rec,total,12,18,88.33333333333333,65.0,53.333333333333336,126.66666666666667,36.66666666666667
lock_in,delta_prop,30,0,0.0,0.0,0.0,0.0,0.0
lock_in,delta_rec,30,0,0.0,0.0,0.0,0.0,0.0
lock_in,delta_int,30,0,0.6,1.0,0.43333333333333335,0.7666666666666667,0.16666666666666669
lock_in,total,30,0,0.6,1.0,0.43333333333333335,0.7666666666666667,0.16666666666666669
