R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,replication,seed_hazard,q_prop,kappa_prop,q_rec,kappa_rec,psi_prop,psi_rec,frac_damaged
0.9035223742829493,0.09647762571705065,0.4984763050253206,0.5015236949746794,360.0,1120.0,False,3760.0,0.0,0.9999999999999994,00,operational,0,0,0.5,0.8,0.5,0.8,0.4,0.4,0.40350877192982454
0.8960927887337241,0.10390721126627589,0.5187389472662014,0.4812610527337986,360.0,1120.0,False,3760.0,0.0,0.9999999999999994,10,operational,0,0,0.5,0.8,0.5,0.8,0.4,0.4,0.40350877192982454
0.8992201998542817,0.1007798001457183,0.4984763050253206,0.5015236949746794,360.0,1170.0,False,3760.0,0.0,0.9999999999999994,01,operational,0,0,0.5,0.8,0.5,0.8,0.4,0.4,0.40350877192982454
0.8256968603211958,0.17430313967880418,0.5187389472662014,0.4812610527337986,360.0,,True,3760.0,1.0,0.9057786114981471,11,operational,0,0,0.5,0.8,0.5,0.8,0.4,0.4,0.40350877192982454
0.9013579869310268,0.09864201306897324,0.6903928361477462,0.30960716385225384,360.0,1100.0,False,3760.0,0.0,0.9999999999999994,00,operational,1,1,0.5,0.8,0.5,0.8,0.4,0.4,0.3508771929824561
0.8888905564879109,0.11110944351208907,0.803140222283123,0.19685977771687704,360.0,1100.0,False,3760.0,0.0,0.9999999999999994,10,operational,1,1,0.5,0.8,0.5,0.8,0.4,0.4,0.3508771929824561
0.8938603820656742,0.1061396179343258,0.6903928361477462,0.30960716385225384,360.0,1220.0,False,3760.0,0.0,0.9999999999999994,01,operational,1,1,0.5,0.8,0.5,0.8,0.4,0.4,0.3508771929824561
0.8816455535956429,0.1183544464043571,0.803140222283123,0.19685977771687704,360.0,1230.0,False,3760.0,0.0,0.9999999999999994,11,operational,1,1,0.5,0.8,0.5,0.8,0.4,0.4,0.3508771929824561
0.8507147049595585,0.14928529504044152,0.7751749034493409,0.22482509655065905,360.0,1380.0,False,3760.0,0.0,0.9999999999999994,00,operational,2,2,0.5,0.8,0.5,0.8,0.4,0.4,0.43859649122807015
0.8420645304375305,0.1579354695624695,0.8124791721614435,0.18752082783855645,360.0,1380.0,False,3760.0,0.0,0.9999999999999994,10,operational,2,2,0.5,0.8,0.5,0.8,0.4,0.4,0.43859649122807015
0.8396579833129483,0.16034201668705172,0.7751749034493409,0.22482509655065905,360.0,1570.0,False,3760.0,0.0,0.9999999999999994,01,operational,2,2,0.5,0.8,0.5,0.8,0.4,0.4,0.43859649122807015
0.8304656354858233,0.1695343645141767,0.8124791721614435,0.18752082783855645,360.0,1600.0,False,3760.0,0.0,0.9999999999999994,11,operational,2,2,0.5,0.8,0.5,0.8,0.4,0.4,0.43859649122807015
0.9095830753560458,0.09041692464395423,0.48377395709486126,0.5162260429051387,360.0,1090.0,False,3760.0,0.0,0.9999999999999994,00,operational,3,3,0.5,0.8,0.5,0.8,0.4,0.4,0.42105263157894735
0.8993825287863286,0.10061747121367137,0.5100168588974758,0.4899831411025242,360.0,1090.0,False,3760.0,0.0,0.9999999999999994,10,operational,3,3,0.5,0.8,0.5,0.8,0.4,0.4,0.42105263157894735
0.906217835107337,0.093782164892663,0.48377395709486126,0.5162260429051387,360.0,1130.0,False,3760.0,0.0,0.9999999999999994,01,operational,3,3,0.5,0.8,0.5,0.8,0.4,0.4,0.42105263157894735
0.8920484390401777,0.10795156095982228,0.5100168588974758,0.4899831411025242,360.0,1170.0,False,3760.0,0.0,0.9999999999999994,11,operational,3,3,0.5,0.8,0.5,0.8,0.4,0.4,0.42105263157894735
0.9111539488045951,0.0888460511954049,0.5256440949322232,0.47435590506777686,360.0,1010.0,False,3760.0,0.0,0.9999999999999994,00,operational,4,4,0.5,0.8,0.5,0.8,0.4,0.4,0.3508771929824561
0.9045195463133539,0.09548045368664615,0.5388682549577254,0.4611317450422746,360.0,1010.0,False,3760.0,0.0,0.9999999999999994,10,operational,4,4,0.5,0.8,0.5,0.8,0.4,0.4,0.3508771929824561
0.9032804310959222,0.09671956890407785,0.5256440949322232,0.47435590506777686,360.0,1110.0,False,3760.0,0.0,0.9999999999999994,01,operational,4,4,0.5,0.8,0.5,0.8,0.4,0.4,0.3508771929824561
0.7861026680519531,0.21389733194804694,0.5388682549577254,0.4611317450422746,360.0,,True,3760.0,1.0,0.8436664866008999,11,operational,4,4,0.5,0.8,0.5,0.8,0.4,0.4,0.3508771929824561
0.9473543015542193,0.05264569844578071,0.42326529233031873,0.5767347076696813,360.0,720.0,False,3760.0,0.0,0.9999999999999994,00,operational,5,5,0.5,0.8,0.5,0.8,0.4,0.4,0.2807017543859649
0.944886616520829,0.05511338347917105,0.4278742270703775,0.5721257729296225,360.0,720.0,False,3760.0,0.0,0.9999999999999994,10,operational,5,5,0.5,0.8,0.5,0.8,0.4,0.4,0.2807017543859649
0.9467128129582311,0.053287187041768935,0.42326529233031873,0.5767347076696813,360.0,730.0,False,3760.0,0.0,0.9999999999999994,01,operational,5,5,0.5,0.8,0.5,0.8,0.4,0.4,0.2807017543859649
0.9439707825514406,0.056029217448559376,0.4278742270703775,0.5721257729296225,360.0,740.0,False,3760.0,0.0,0.9999999999999994,11,operational,5,5,0.5,0.8,0.5,0.8,0.4,0.4,0.2807017543859649
0.8995961020992386,0.10040389790076143,0.5503486014813264,0.4496513985186737,360.0,1180.0,False,3760.0,0.0,0.9999999999999994,00,operational,6,6,0.5,0.8,0.5,0.8,0.4,0.4,0.45614035087719296
0.8955699664105248,0.10443003358947522,0.5562034283835176,0.44379657161648245,360.0,1180.0,False,3760.0,0.0,0.9999999999999994,10,operational,6,6,0.5,0.8,0.5,0.8,0.4,0.4,0.45614035087719296
0.8877990561208683,0.11220094387913171,0.5503486014813264,0.4496513985186737,360.0,1300.0,False,3760.0,0.0,0.9999999999999994,01,operational,6,6,0.5,0.8,0.5,0.8,0.4,0.4,0.45614035087719296
0.818095501617865,0.18190449838213496,0.5562034283835176,0.44379657161648245,360.0,,True,3760.0,1.0,0.9057786114981471,11,operational,6,6,0.5,0.8,0.5,0.8,0.4,0.4,0.45614035087719296
