R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,replication,access_threshold,kappa,T_eval
0.903528099808482,0.0964719001915178,0.4983869185095407,0.5016130814904592,360.0,1120.0,False,3760.0,0.0,0.9999999999999992,00,operational,0,0.3,0.5,4000.0
0.8984166715015992,0.1015833284984008,0.5122157181948563,0.4877842818051436,360.0,1120.0,False,3760.0,0.0,0.9999999999999992,10,operational,0,0.3,0.5,4000.0
0.901412583349669,0.098587416650331,0.4983869185095407,0.5016130814904592,360.0,1150.0,False,3760.0,0.0,0.9999999999999992,01,operational,0,0.3,0.5,4000.0
0.8948589218555668,0.1051410781444331,0.5122157181948563,0.4877842818051436,360.0,1160.0,False,3760.0,0.0,0.9999999999999992,11,operational,0,0.3,0.5,4000.0
0.9268501930459612,0.0731498069540389,0.4609316073774193,0.5390683926225807,360.0,950.0,False,3760.0,0.0,0.9999999999999992,00,operational,10,0.3,0.5,4000.0
0.9228610847715416,0.0771389152284582,0.4651842496946193,0.5348157503053806,360.0,950.0,False,3760.0,0.0,0.9999999999999992,10,operational,10,0.3,0.5,4000.0
0.918493913561206,0.0815060864387938,0.4609316073774193,0.5390683926225807,360.0,1040.0,False,3760.0,0.0,0.9999999999999992,01,operational,10,0.3,0.5,4000.0
0.912660894502656,0.087339105497344,0.4651842496946193,0.5348157503053806,360.0,1050.0,False,3760.0,0.0,0.9999999999999992,11,operational,10,0.3,0.5,4000.0
0.9425791063817948,0.0574208936182053,0.4108185998309868,0.5891814001690132,360.0,810.0,False,3760.0,0.0,0.9999999999999992,00,operational,20,0.3,0.5,4000.0
0.9375465874911806,0.0624534125088194,0.4274425867626588,0.5725574132373412,360.0,820.0,False,3760.0,0.0,0.9999999999999992,10,operational,20,0.3,0.5,4000.0
0.9367309556471136,0.0632690443528865,0.4108185998309868,0.5891814001690132,360.0,890.0,False,3760.0,0.0,0.9999999999999992,01,operational,20,0.3,0.5,4000.0
0.9302288706587012,0.0697711293412989,0.4274425867626588,0.5725574132373412,360.0,900.0,False,3760.0,0.0,0.9999999999999992,11,operational,20,0.3,0.5,4000.0
0.9476492596735392,0.0523507403264607,0.3749385554972162,0.6250614445027838,360.0,780.0,False,3760.0,0.0,0.9999999999999992,00,operational,30,0.3,0.5,4000.0
0.9422861118119352,0.0577138881880647,0.4012021106437732,0.5987978893562268,360.0,780.0,False,3760.0,0.0,0.9999999999999992,10,operational,30,0.3,0.5,4000.0
0.9438601109417856,0.0561398890582143,0.3749385554972162,0.6250614445027838,360.0,840.0,False,3760.0,0.0,0.9999999999999992,01,operational,30,0.3,0.5,4000.0
0.9366402587979664,0.0633597412020335,0.4012021106437732,0.5987978893562268,360.0,850.0,False,3760.0,0.0,0.9999999999999992,11,operational,30,0.3,0.5,4000.0
0.9205675644282456,0.0794324355717545,0.6760963111780314,0.3239036888219687,360.0,880.0,False,3760.0,0.0,0.9999999999999992,00,operational,40,0.3,0.5,4000.0
0.9168219014739706,0.0831780985260294,0.7305250214696992,0.2694749785303008,360.0,890.0,False,3760.0,0.0,0.9999999999999992,10,operational,40,0.3,0.5,4000.0
0.9130779190439136,0.0869220809560863,0.6760963111780314,0.3239036888219687,360.0,950.0,False,3760.0,0.0,0.9999999999999992,01,operational,40,0.3,0.5,4000.0
0.9071864758123188,0.0928135241876811,0.7305250214696992,0.2694749785303008,360.0,970.0,False,3760.0,0.0,0.9999999999999992,11,operational,40,0.3,0.5,4000.0
0.954791737067174,0.0452082629328258,0.3747455939900203,0.6252544060099797,360.0,710.0,False,3760.0,0.0,0.9999999999999992,00,operational,50,0.3,0.5,4000.0
