R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,replication,frac_damaged
0.9376123120078615,0.0623876879921384,0.4279152169422411,0.5720847830577589,360.0,810.0,False,3760.0,0.0,0.9999999999999992,00,operational,0,0.2631578947368421
0.93389757712599,0.06610242287401,0.4279152169422411,0.5720847830577589,360.0,860.0,False,3760.0,0.0,0.9999999999999992,01,operational,0,0.2631578947368421
0.9338523256329536,0.0661476743670462,0.441116988603017,0.5588830113969829,360.0,810.0,False,3760.0,0.0,0.9999999999999992,10,operational,0,0.2631578947368421
0.8602924221033688,0.1397075778966312,0.441116988603017,0.5588830113969829,360.0,,True,3760.0,1.0,0.9061811327489596,11,operational,0,0.2631578947368421
0.9455354840394666,0.0544645159605333,0.6129384379561768,0.3870615620438232,360.0,750.0,False,3760.0,0.0,0.9999999999999992,00,operational,1,0.2982456140350877
0.9406181223925782,0.0593818776074217,0.6129384379561768,0.3870615620438232,360.0,830.0,False,3760.0,0.0,0.9999999999999992,01,operational,1,0.2982456140350877
0.9378929889541466,0.0621070110458533,0.7811550951520505,0.2188449048479495,360.0,750.0,False,3760.0,0.0,0.9999999999999992,10,operational,1,0.2982456140350877
0.930573401656852,0.069426598343148,0.7811550951520505,0.2188449048479495,360.0,870.0,False,3760.0,0.0,0.9999999999999992,11,operational,1,0.2982456140350877
0.8981228861260552,0.1018771138739448,0.6920576173024078,0.3079423826975922,360.0,1060.0,False,3760.0,0.0,0.9999999999999992,00,operational,2,0.3859649122807017
0.886742485391593,0.113257514608407,0.6920576173024078,0.3079423826975922,360.0,1230.0,False,3760.0,0.0,0.9999999999999992,01,operational,2,0.3859649122807017
0.8902109403776671,0.1097890596223328,0.7736651660669969,0.2263348339330031,360.0,1060.0,False,3760.0,0.0,0.9999999999999992,10,operational,2,0.3859649122807017
0.8823193712282922,0.1176806287717078,0.7736651660669969,0.2263348339330031,360.0,1230.0,False,3760.0,0.0,0.9999999999999992,11,operational,2,0.3859649122807017
