replication,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,T_rec__delta_prop,T_rec__delta_rec,T_rec__total,T_rec__delta_int,T_rec_bounded__delta_prop,T_rec_bounded__delta_rec,T_rec_bounded__total,T_rec_bounded__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,any_censored,q_prop,kappa_prop,q_rec,kappa_rec,seed_design,psi_prop,psi_rec
0,0.0018380394811590012,6.844215561320477e-05,0.0018985921515485976,-7.889485223608328e-06,0.0028675495284132824,0.0,0.0028675495284132824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.25,0.25,0.25,0.25,0,0.0625,0.0625
1,0.0037733401154022017,0.002532875847402291,0.006546278706331593,0.00024006274352710022,0.023971031317338798,0.0,0.023971031317338798,0.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,False,0.25,0.25,0.25,0.25,0,0.0625,0.0625
2,0.0015661288866161138,0.003159973030218699,0.005087381328063217,0.00036127941122840457,0.006636279872173412,0.0,0.006636279872173412,0.0,0.0,20.0,30.0,10.0,0.0,20.0,30.0,10.0,0.0,0.0,0.0,0.0,False,0.25,0.25,0.25,0.25,0,0.0625,0.0625
3,0.0013696458688396002,0.0008773840323625937,0.002273460921570089,2.643102036789524e-05,0.002295233558323173,0.0,0.002295233558323173,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,False,0.25,0.25,0.25,0.25,0,0.0625,0.0625
4,0.0009204295562615095,0.0010447725642905026,0.002040311002974707,7.510888242269476e-05,0.0019484264692763986,0.0,0.0019484264692763986,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,False,0.25,0.25,0.25,0.25,0,0.0625,0.0625
5,0.0009071265820782964,2.0639014955997625e-05,0.0009279406593503958,1.7506231610175949e-07,0.006595088283145423,0.0,0.006595088283145423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.25,0.25,0.25,0.25,0,0.0625,0.0625
6,0.00044918503044599767,2.937486920939758e-05,0.0004788635146534964,3.036149981011649e-07,0.001214049319361199,0.0,0.001214049319361199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.25,0.25,0.25,0.25,0,0.0625,0.0625
7,0.0004866023138143001,0.0,0.0004866023138143001,0.0,0.004070326089999576,0.0,0.004070326089999576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.25,0.25,0.25,0.25,0,0.0625,0.0625
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.25,0.25,0.25,0.25,0,0.0625,0.0625
9,0.0007682437613835968,0.0008939047494860991,0.001781936805332493,0.00011978829446279704,0.0013789252404726171,0.0,0.0013789252404726171,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,False,0.25,0.25,0.25,0.25,0,0.0625,0.0625
10,0.0005045073520109911,0.00012739661481279974,0.000628819431914604,-3.084534909186809e-06,0.00015304525787657175,0.0,0.00015304525787657175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.25,0.25,0.25,0.25,0,0.0625,0.0625
