replication,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,T_rec__delta_prop,T_rec__delta_rec,T_rec__total,T_rec__delta_int,T_rec_bounded__delta_prop,T_rec_bounded__delta_rec,T_rec_bounded__total,T_rec_bounded__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,any_censored
0,0.039892494618926605,0.0353226618152892,0.09945663506499322,0.024241478630777413,0.11204839805161299,0.0,0.11204839805161299,0.0,0.0,490.0,,,0.0,490.0,1080.0,590.0,0.0,0.0,1.0,1.0,True
1,0.02068630834549562,-0.003684523842793219,0.044440579347183484,0.027438794844481085,0.030345348042923104,0.0,0.030345348042923104,0.0,0.0,,,,0.0,140.0,140.0,0.0,0.0,1.0,1.0,0.0,True
2,0.01018926789224392,0.03146136201364422,0.039501985504997006,-0.002148644400891131,0.027321628691251876,0.0,0.027321628691251876,0.0,0.0,510.0,550.0,40.0,0.0,510.0,550.0,40.0,0.0,0.0,0.0,0.0,False
3,0.011504809752761996,0.005584618021539603,0.063833803289941,0.0467443755156394,0.06634297987110999,0.0,0.06634297987110999,0.0,0.0,130.0,,,0.0,130.0,2360.0,2230.0,0.0,0.0,1.0,1.0,True
4,0.02038599470424371,0.03680873975196139,0.20639236190380247,0.14919762744759738,0.03548992907169768,0.0,0.03548992907169768,0.0,0.0,780.0,,,0.0,780.0,1040.0,260.0,0.0,0.0,1.0,1.0,True
5,0.001534725569238702,0.0006931430543975006,0.0027228631497978016,0.000494994526161599,0.0104546337167329,0.0,0.0104546337167329,0.0,0.0,50.0,60.0,10.0,0.0,50.0,60.0,10.0,0.0,0.0,0.0,0.0,False
6,0.012490242432413201,0.02310986186312841,0.0744817567557442,0.03888165246020259,0.015340555629579256,0.0,0.015340555629579256,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
7,0.024237440736510102,0.03556170030449368,0.059707664564971785,-9.14764760319986e-05,0.25989862297969557,0.0,0.25989862297969557,0.0,0.0,420.0,590.0,170.0,0.0,420.0,590.0,170.0,0.0,0.0,0.0,0.0,False
8,0.0034732602159279063,0.024692870119949417,0.026121161854341907,-0.002044968481535417,0.018065611723586006,0.0,0.018065611723586006,0.0,0.0,560.0,550.0,-10.0,0.0,560.0,550.0,-10.0,0.0,0.0,0.0,0.0,False
9,0.0021199079691406053,0.009614754987930199,0.010121968190908895,-0.0016126947661619095,0.024547792910628696,0.0,0.024547792910628696,0.0,0.0,160.0,160.0,0.0,0.0,160.0,160.0,0.0,0.0,0.0,0.0,0.0,False
10,0.006678287215465505,0.010907800212432504,0.014291988644508001,-0.003294098783390008,0.06435773456838229,0.0,0.06435773456838229,0.0,0.0,200.0,230.0,30.0,0.0,200.0,230.0,30.0,0.0,0.0,0.0,0.0,False
