metric,channel,n,n_missing,mean,median,ci_low,ci_high,ci_halfwidth
loss,delta_prop,30,0,0.008246173398960836,0.006857915860797148,0.005997255980002468,0.01087529524725053,0.0024390196336240306
loss,delta_rec,30,0,0.02417156432426893,0.014883927823630305,0.015158385881720419,0.035403230547345545,0.010122422332812563
loss,delta_int,30,0,0.030110037616995558,0.0007070810329965985,0.010474845377369722,0.05402344266074287,0.021774298641686573
loss,total,30,0,0.06252777534022533,0.02628732601534571,0.03846465892635382,0.089547167668661,0.02554125437115359
Lambda,delta_prop,30,0,0.045750877297014186,0.03354297254216748,0.03128205152571378,0.06465679885629835,0.016687373665292285
Lambda,delta_rec,30,0,3.7007434154171884e-18,0.0,0.0,1.1102230246251566e-17,5.551115123125783e-18
Lambda,delta_int,30,0,-3.7007434154171884e-18,0.0,-1.1102230246251566e-17,0.0,5.551115123125783e-18
Lambda,total,30,0,0.045750877297014186,0.03354297254216748,0.03128205152571378,0.06465679885629835,0.016687373665292285
T_rec,delta_prop,30,0,0.0,0.0,0.0,0.0,0.0
T_rec,delta_rec,29,1,593.7931034482758,470.0,435.85344827586215,770.3620689655173,167.2543103448276
T_rec,delta_int,19,11,20.526315789473685,10.0,-1.5921052631578454,46.8421052631579,24.217105263157872
T_rec,total,19,11,445.7894736842105,380.0,317.88157894736844,589.4868421052632,135.8026315789474
lock_in,delta_prop,30,0,0.0,0.0,0.0,0.0,0.0
lock_in,delta_rec,30,0,0.03333333333333333,0.0,0.0,0.1,0.05
lock_in,delta_int,30,0,0.3333333333333333,0.0,0.16666666666666666,0.5,0.16666666666666669
lock_in,total,30,0,0.36666666666666664,0.0,0.2,0.5333333333333333,0.16666666666666666
