replication,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,T_rec__delta_prop,T_rec__delta_rec,T_rec__total,T_rec__delta_int,T_rec_bounded__delta_prop,T_rec_bounded__delta_rec,T_rec_bounded__total,T_rec_bounded__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,any_censored
0,0.022795711210815098,0.020184378180166204,0.10409285924110269,0.06111276985012139,0.11204839805161299,0.0,0.11204839805161299,0.0,0.0,490.0,,,0.0,490.0,4080.0,3590.0,0.0,0.0,1.0,1.0,True
1,0.011820747630791217,0.028817349549832616,0.08973785878869961,0.049099761608075776,0.030345348042923104,0.0,0.030345348042923104,0.0,0.0,1740.0,,,0.0,1740.0,3140.0,1400.0,0.0,0.0,1.0,1.0,True
2,0.005822438795566695,0.017977921150651596,0.0225725631457082,-0.001227796800510092,0.027321628691251876,0.0,0.027321628691251876,0.0,0.0,510.0,550.0,40.0,0.0,510.0,550.0,40.0,0.0,0.0,0.0,0.0,False
3,0.006574177001578196,0.0031912102980224955,0.0660246045967175,0.056259217297116804,0.06634297987110999,0.0,0.06634297987110999,0.0,0.0,130.0,,,0.0,130.0,5360.0,5230.0,0.0,0.0,1.0,1.0,True
4,0.011649139830996219,0.021033565618891803,0.28919265563342644,0.2565099501835384,0.03548992907169768,0.0,0.03548992907169768,0.0,0.0,780.0,,,0.0,780.0,4040.0,3260.0,0.0,0.0,1.0,1.0,True
5,0.0008769860395649986,0.0003960817453700985,0.0015559217998845996,0.0002828540149495025,0.0104546337167329,0.0,0.0104546337167329,0.0,0.0,50.0,60.0,10.0,0.0,50.0,60.0,10.0,0.0,0.0,0.0,0.0,False
6,0.0071416547200161,0.03705176173682692,0.08740370544818729,0.04321028899134427,0.015340555629579256,0.0,0.015340555629579256,0.0,0.0,1170.0,,,0.0,1170.0,2670.0,1500.0,0.0,0.0,1.0,1.0,True
7,0.013849966135148689,0.02032097160256799,0.034118665465698195,-5.227227201848317e-05,0.25989862297969557,0.0,0.25989862297969557,0.0,0.0,420.0,590.0,170.0,0.0,420.0,590.0,170.0,0.0,0.0,0.0,0.0,False
8,0.001984720123387393,0.014110211497114,0.014926378202481091,-0.0011685534180203017,0.018065611723586006,0.0,0.018065611723586006,0.0,0.0,560.0,550.0,-10.0,0.0,560.0,550.0,-10.0,0.0,0.0,0.0,0.0,False
9,0.0012113759823660017,0.005494145707388605,0.005783981823376402,-0.0009215398663782043,0.024547792910628696,0.0,0.024547792910628696,0.0,0.0,160.0,160.0,0.0,0.0,160.0,160.0,0.0,0.0,0.0,0.0,0.0,False
10,0.0038161641231230017,0.006233028692818499,0.0081668506540045,-0.0018823421619370007,0.06435773456838229,0.0,0.06435773456838229,0.0,0.0,200.0,230.0,30.0,0.0,200.0,230.0,30.0,0.0,0.0,0.0,0.0,False
11,0.015278231258872899,0.06850753926414849,0.0791731678112893,-0.004612602711732083,0.020988959161036047,0.0,0.020988959161036047,0.0,0.0,1370.0,1350.0,-20.0,0.0,1370.0,1350.0,-20.0,0.0,0.0,0.0,0.0,False
12,0.016059020146902997,0.08169431210623451,0.15714447102844753,0.05939113877531002,0.04272687659852514,0.0,0.04272687659852514,0.0,0.0,1370.0,,,0.0,1370.0,3370.0,2000.0,0.0,0.0,1.0,1.0,True
13,0.0031921414734394013,0.0039538489233302,0.0586822337725963,0.0515362433758267,0.04979797252245177,0.0,0.04979797252245177,0.0,0.0,150.0,,,0.0,150.0,5280.0,5130.0,0.0,0.0,1.0,1.0,True
14,0.003832715870833406,0.009543982564445497,0.016114969605051502,0.002738271169772599,0.03437509232811908,0.0,0.03437509232811908,0.0,0.0,330.0,240.0,-90.0,0.0,330.0,240.0,-90.0,0.0,0.0,0.0,0.0,False
15,0.005452518387952902,0.01565764415014661,0.0202394492332102,-0.0008707133048893104,0.044044030965605885,0.0,0.044044030965605885,0.0,0.0,470.0,490.0,20.0,0.0,470.0,490.0,20.0,0.0,0.0,0.0,0.0,False
16,0.030993128004403847,0.1314562445874986,0.11322840107333604,-0.049220971518566414,0.05986332012186113,0.0,0.05986332012186113,0.0,0.0,,,,0.0,1680.0,1680.0,0.0,0.0,1.0,1.0,0.0,True
17,0.002863823664409307,0.007968511005819398,0.0119636427212724,0.0011313080510436946,0.005642782256161105,0.0,0.005642782256161105,0.0,0.0,470.0,510.0,40.0,0.0,470.0,510.0,40.0,0.0,0.0,0.0,0.0,False
18,0.0098342881532094,0.012169672463726702,0.027410610222172005,0.0054066496052359025,0.04241335502812238,0.0,0.04241335502812238,0.0,0.0,350.0,380.0,30.0,0.0,350.0,380.0,30.0,0.0,0.0,0.0,0.0,False
19,0.015701535354738116,0.0762971303144262,0.17756791120741472,0.0855692455382504,0.02964942996088682,0.0,0.02964942996088682,0.0,0.0,1860.0,,,0.0,1860.0,2010.0,150.0,0.0,0.0,1.0,1.0,True
20,0.009476294650016315,0.0277423436984309,0.2547745317026382,0.21755589335419098,0.03271085275621588,0.0,0.03271085275621588,0.0,0.0,840.0,,,0.0,840.0,3880.0,3040.0,0.0,0.0,1.0,1.0,True
