kind,held_at,slope,effect
d/dq at fixed kappa,0.2,0.0,Lambda_prop
d/dq at fixed kappa,0.4,0.03299250000000001,Lambda_prop
d/dq at fixed kappa,0.6,0.07567343750000002,Lambda_prop
d/dq at fixed kappa,0.8,0.10517333333333333,Lambda_prop
d/dq at fixed kappa,1.0,0.13292708333333325,Lambda_prop
d/dkappa at fixed q,0.2,0.03603854166666666,Lambda_prop
d/dkappa at fixed q,0.4,0.06597229166666663,Lambda_prop
d/dkappa at fixed q,0.6,0.10399624999999997,Lambda_prop
d/dkappa at fixed q,0.8,0.13561270833333325,Lambda_prop
d/dkappa at fixed q,1.0,0.17023583333333323,Lambda_prop
d/dq at fixed kappa,0.2,8.216666666666667,T_rec_rec
d/dq at fixed kappa,0.4,19.266666666666673,T_rec_rec
d/dq at fixed kappa,0.6,35.86666666666667,T_rec_rec
d/dq at fixed kappa,0.8,48.56666666666668,T_rec_rec
d/dq at fixed kappa,1.0,54.85000000000001,T_rec_rec
d/dkappa at fixed q,0.2,18.150000000000002,T_rec_rec
d/dkappa at fixed q,0.4,27.050000000000004,T_rec_rec
d/dkappa at fixed q,0.6,33.15,T_rec_rec
d/dkappa at fixed q,0.8,51.75,T_rec_rec
d/dkappa at fixed q,1.0,67.08333333333333,T_rec_rec
