R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,q_prop,kappa_prop,q_rec,kappa_rec,replication,psi_prop,psi_rec
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,0.2,0.2,0.2,0.2,0,0.04000000000000001,0.04000000000000001
0.9348825267361112,0.06511747326388884,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,10,operational,0.2,0.2,0.2,0.2,0,0.04000000000000001,0.04000000000000001
0.9345276297453703,0.06547237025462971,0.4325000000000001,0.5674999999999999,44.0,215.0,False,876.0,0.0,1.0,01,operational,0.2,0.2,0.2,0.2,0,0.04000000000000001,0.04000000000000001
0.9340032979295809,0.06599670207041908,0.4325000000000001,0.5674999999999999,44.0,215.0,False,876.0,0.0,1.0,11,operational,0.2,0.2,0.2,0.2,0,0.04000000000000001,0.04000000000000001
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,0.2,0.4,0.2,0.4,0,0.08000000000000002,0.08000000000000002
0.9337684388888888,0.06623156111111117,0.4425000000000001,0.5574999999999999,51.0,213.0,False,876.0,0.0,1.0,10,operational,0.2,0.4,0.2,0.4,0,0.08000000000000002,0.08000000000000002
0.9333292096688034,0.0666707903311966,0.4325000000000001,0.5674999999999999,44.0,218.0,False,876.0,0.0,1.0,01,operational,0.2,0.4,0.2,0.4,0,0.08000000000000002,0.08000000000000002
0.9316231802799615,0.0683768197200385,0.4425000000000001,0.5574999999999999,51.0,218.0,False,876.0,0.0,1.0,11,operational,0.2,0.4,0.2,0.4,0,0.08000000000000002,0.08000000000000002
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,0.2,0.6,0.2,0.6,0,0.12,0.12
0.9326563388888888,0.06734366111111123,0.4475000000000001,0.5524999999999999,44.0,213.0,False,876.0,0.0,1.0,10,operational,0.2,0.6,0.2,0.6,0,0.12,0.12
0.9315775859233806,0.06842241407661942,0.4325000000000001,0.5674999999999999,44.0,222.0,False,876.0,0.0,1.0,01,operational,0.2,0.6,0.2,0.6,0,0.12,0.12
0.9286171618424182,0.07138283815758184,0.4475000000000001,0.5524999999999999,44.0,223.0,False,876.0,0.0,1.0,11,operational,0.2,0.6,0.2,0.6,0,0.12,0.12
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,0.2,0.8,0.2,0.8,0,0.16000000000000003,0.16000000000000003
0.9315575722222221,0.06844242777777787,0.45250000000000024,0.5474999999999998,44.0,213.0,False,876.0,0.0,1.0,10,operational,0.2,0.8,0.2,0.8,0,0.16000000000000003,0.16000000000000003
0.930137304287037,0.069862695712963,0.4325000000000001,0.5674999999999999,44.0,226.0,False,876.0,0.0,1.0,01,operational,0.2,0.8,0.2,0.8,0,0.16000000000000003,0.16000000000000003
0.9259318728799527,0.07406812712004729,0.45250000000000024,0.5474999999999998,44.0,227.0,False,876.0,0.0,1.0,11,operational,0.2,0.8,0.2,0.8,0,0.16000000000000003,0.16000000000000003
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,0.2,1.0,0.2,1.0,0,0.2,0.2
0.9304616527777777,0.0695383472222223,0.45750000000000013,0.5424999999999999,44.0,213.0,False,876.0,0.0,1.0,10,operational,0.2,1.0,0.2,1.0,0,0.2,0.2
0.9301528410300925,0.06984715896990745,0.4325000000000001,0.5674999999999999,44.0,228.0,False,876.0,0.0,1.0,01,operational,0.2,1.0,0.2,1.0,0,0.2,0.2
0.9247450174868252,0.07525498251317475,0.45750000000000013,0.5424999999999999,44.0,229.0,False,876.0,0.0,1.0,11,operational,0.2,1.0,0.2,1.0,0,0.2,0.2
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,0.4,0.2,0.4,0.2,0,0.08000000000000002,0.08000000000000002
0.9336585005671295,0.06634149943287049,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,10,operational,0.4,0.2,0.4,0.2,0,0.08000000000000002,0.08000000000000002
0.9351566544444444,0.0648433455555556,0.4325000000000001,0.5674999999999999,44.0,214.0,False,876.0,0.0,1.0,01,operational,0.4,0.2,0.4,0.2,0,0.08000000000000002,0.08000000000000002
0.9331913986940301,0.06680860130596988,0.4325000000000001,0.5674999999999999,44.0,214.0,False,876.0,0.0,1.0,11,operational,0.4,0.2,0.4,0.2,0,0.08000000000000002,0.08000000000000002
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,0.4,0.4,0.4,0.4,0,0.16000000000000003,0.16000000000000003
0.9306594872453704,0.0693405127546296,0.4665,0.5335,54.0,213.0,False,876.0,0.0,1.0,10,operational,0.4,0.4,0.4,0.4,0,0.16000000000000003,0.16000000000000003
0.9349071042248938,0.06509289577510624,0.4325000000000001,0.5674999999999999,44.0,215.0,False,876.0,0.0,1.0,01,operational,0.4,0.4,0.4,0.4,0,0.16000000000000003,0.16000000000000003
0.9290414644146912,0.07095853558530885,0.4665,0.5335,54.0,217.0,False,876.0,0.0,1.0,11,operational,0.4,0.4,0.4,0.4,0,0.16000000000000003,0.16000000000000003
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,0.4,0.6,0.4,0.6,0,0.24,0.24
0.9276800147222222,0.07231998527777783,0.48350000000000004,0.5165,48.0,213.0,False,876.0,0.0,1.0,10,operational,0.4,0.6,0.4,0.6,0,0.24,0.24
0.934631249074074,0.06536875092592598,0.4325000000000001,0.5674999999999999,44.0,216.0,False,876.0,0.0,1.0,01,operational,0.4,0.6,0.4,0.6,0,0.24,0.24
0.9237346468406014,0.07626535315939864,0.48350000000000004,0.5165,48.0,223.0,False,876.0,0.0,1.0,11,operational,0.4,0.6,0.4,0.6,0,0.24,0.24
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,0.4,0.8,0.4,0.8,0,0.32000000000000006,0.32000000000000006
0.9247335474074073,0.07526645259259268,0.5005000000000002,0.49949999999999983,44.0,213.0,False,876.0,0.0,1.0,10,operational,0.4,0.8,0.4,0.8,0,0.32000000000000006,0.32000000000000006
0.9343381101260505,0.0656618898739495,0.4325000000000001,0.5674999999999999,44.0,217.0,False,876.0,0.0,1.0,01,operational,0.4,0.8,0.4,0.8,0,0.32000000000000006,0.32000000000000006
0.8551136836128598,0.14488631638714022,0.5005000000000002,0.49949999999999983,44.0,,True,876.0,1.0,0.9100000000000001,11,operational,0.4,0.8,0.4,0.8,0,0.32000000000000006,0.32000000000000006
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,0.4,1.0,0.4,1.0,0,0.4,0.4
0.9217919689814814,0.07820803101851859,0.51990625,0.48009375,56.0,213.0,False,876.0,0.0,1.0,10,operational,0.4,1.0,0.4,1.0,0,0.4,0.4
0.9339905922182821,0.06600940778171793,0.4325000000000001,0.5674999999999999,44.0,218.0,False,876.0,0.0,1.0,01,operational,0.4,1.0,0.4,1.0,0,0.4,0.4
0.8436072960838159,0.1563927039161841,0.51990625,0.48009375,56.0,,True,876.0,1.0,0.9,11,operational,0.4,1.0,0.4,1.0,0,0.4,0.4
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,0.6,0.2,0.6,0.2,0,0.12,0.12
0.9330019550491897,0.0669980449508103,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,10,operational,0.6,0.2,0.6,0.2,0,0.12,0.12
0.934165144710648,0.06583485528935196,0.4325000000000001,0.5674999999999999,44.0,216.0,False,876.0,0.0,1.0,01,operational,0.6,0.2,0.6,0.2,0,0.12,0.12
0.9313533966584333,0.06864660334156669,0.4325000000000001,0.5674999999999999,44.0,217.0,False,876.0,0.0,1.0,11,operational,0.6,0.2,0.6,0.2,0,0.12,0.12
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,0.6,0.4,0.6,0.4,0,0.24,0.24
0.9288775841435184,0.0711224158564816,0.4495,0.5505,56.0,213.0,False,876.0,0.0,1.0,10,operational,0.6,0.4,0.6,0.4,0,0.24,0.24
0.9326148403872869,0.06738515961271307,0.4325000000000001,0.5674999999999999,44.0,220.0,False,876.0,0.0,1.0,01,operational,0.6,0.4,0.6,0.4,0,0.24,0.24
0.9240755167535356,0.07592448324646439,0.4495,0.5505,56.0,225.0,False,876.0,0.0,1.0,11,operational,0.6,0.4,0.6,0.4,0,0.24,0.24
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,0.6,0.6,0.6,0.6,0,0.36,0.36
