replication,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,T_rec__delta_prop,T_rec__delta_rec,T_rec__total,T_rec__delta_int,T_rec_bounded__delta_prop,T_rec_bounded__delta_rec,T_rec_bounded__total,T_rec_bounded__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,any_censored,q_prop,kappa_prop,q_rec,kappa_rec,seed_design,psi_prop,psi_rec
0,0.0005101121527777419,0.0008650091435186136,0.001389340959307983,1.4219663011627581e-05,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,0,0.04000000000000001,0.04000000000000001
1,0.0008675952932100106,0.0015608495370371678,0.0024832728414508898,5.482801120371139e-05,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,0,0.04000000000000001,0.04000000000000001
2,0.001190655555555531,0.00031100446487486444,0.0016098892131253262,0.00010822919269493081,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,0,0.04000000000000001,0.04000000000000001
3,0.00021413211805554333,0.0001048981481480693,0.0003190336008709327,3.334667320054052e-09,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,0,0.04000000000000001,0.04000000000000001
4,0.0005261159259257742,0.0003546524791321337,0.0008913306272803068,1.0562222222398887e-05,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,0,0.04000000000000001,0.04000000000000001
5,0.0002527516203703062,8.340414754826053e-05,0.00033992058273357717,3.7648148150104532e-06,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,0,0.04000000000000001,0.04000000000000001
6,0.0009773877314815937,0.004270976361111067,0.005356091244809402,0.00010772715221674112,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,0,0.04000000000000001,0.04000000000000001
7,0.00040072256944445606,0.00025817508024694735,0.0006862509138334527,2.7353264142049305e-05,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,0,0.04000000000000001,0.04000000000000001
8,0.0004033880246913091,0.00043206838646658863,0.0008457680860880501,1.0311674930152392e-05,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,0,0.04000000000000001,0.04000000000000001
9,0.0007216537037036952,0.000726657407407405,0.0014582788194443808,9.967708333280534e-06,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,0,0.04000000000000001,0.04000000000000001
10,0.0,7.658753636230475e-05,7.658753636230475e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,0,0.04000000000000001,0.04000000000000001
11,0.0006208708333332869,0.003711780555555544,0.004357360360590534,2.4708971701703497e-05,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,0,0.04000000000000001,0.04000000000000001
12,0.000633708333333316,0.00016883179012339156,0.000810629919294148,8.089795837440406e-06,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,0,0.04000000000000001,0.04000000000000001
13,0.0014171990740740048,0.0019626505984821074,0.003444462527192549,6.461285463643662e-05,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,0,0.04000000000000001,0.04000000000000001
14,0.0013535243055556867,0.002805535395770109,0.004336010051816719,0.00017695035049092311,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,0,0.04000000000000001,0.04000000000000001
0,0.0006819807291666979,0.0008314091435185356,0.0015280484276833928,1.4658554998159268e-05,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,1,0.04000000000000001,0.04000000000000001
1,0.0008505123456790109,0.0017196091820989023,0.0026555098187280857,8.538829095017242e-05,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,1,0.04000000000000001,0.04000000000000001
2,0.0009355902777778979,0.00010743052725303848,0.0010573078842557315,1.4287079224795107e-05,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,1,0.04000000000000001,0.04000000000000001
3,0.0004210071180554831,0.00017327962962965238,0.000612018980726492,1.7732233041356515e-05,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,1,0.04000000000000001,0.04000000000000001
4,0.0004295687037035867,0.00036869827160479485,0.0008092211515611236,1.0954176252742087e-05,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,1,0.04000000000000001,0.04000000000000001
5,0.00037436273148150345,0.00017269555555543548,0.0006124326403934566,6.537435335651764e-05,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,1,0.04000000000000001,0.04000000000000001
6,0.0016235436342594278,0.0017255556909206993,0.0033768403050294937,2.774097984936663e-05,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,1,0.04000000000000001,0.04000000000000001
7,0.00014114583333324493,0.00019008063580250312,0.0003484205500268178,1.7194080891069774e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,1,0.04000000000000001,0.04000000000000001
8,0.0007724274691358612,0.0004176263283325321,0.0012082742064353225,1.8220408966929114e-05,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,1,0.04000000000000001,0.04000000000000001
9,0.0008189879050926052,0.0016814791666667217,0.002559454890998958,5.898781923963092e-05,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,1,0.04000000000000001,0.04000000000000001
10,5.7877604166645114e-05,7.5587536362276e-05,0.0001329443071956815,-5.208333332396009e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,1,0.04000000000000001,0.04000000000000001
11,0.0015103961805555954,0.0037339049153646275,0.005290098318142422,4.5797222222199174e-05,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,1,0.04000000000000001,0.04000000000000001
12,0.0005891819444443502,0.00016883179012339156,0.0007629359567902227,4.922222222480954e-06,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,1,0.04000000000000001,0.04000000000000001
13,0.0011097555555553695,0.0016540098093792421,0.0029163352792798136,0.00015256991434520195,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,1,0.04000000000000001,0.04000000000000001
14,0.0007420422222222944,0.001421309259259429,0.0022753839263780495,0.00011203244489632613,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,1,0.04000000000000001,0.04000000000000001
0,0.00044701741898156566,0.00019984666666672535,0.0006491907523148432,2.326666666552235e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,2,0.04000000000000001,0.04000000000000001
1,0.00085354938271609,0.00048202004161046474,0.0013422656048821535,6.69618055559873e-06,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,2,0.04000000000000001,0.04000000000000001
2,0.0006155144444445204,0.00043396871345036114,0.0010597609356725046,1.0277777777623065e-05,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,2,0.04000000000000001,0.04000000000000001
3,0.00013618333333342836,0.00018159711111120913,0.0003192954444444229,1.514999999785438e-06,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,2,0.04000000000000001,0.04000000000000001
4,0.0003525341358022738,0.00099848379629619,0.001357546481481342,6.528549382878168e-06,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,2,0.04000000000000001,0.04000000000000001
5,0.00023308109567887758,0.00013505555555548554,0.0003766385030864461,8.501851852082964e-06,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,2,0.04000000000000001,0.04000000000000001
6,0.0007777609953704134,0.0015682949561404147,0.0023572443195662984,1.1188368055470299e-05,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,2,0.04000000000000001,0.04000000000000001
7,0.0002400888888889341,1.4344777327868208e-05,0.0002544336662168023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,2,0.04000000000000001,0.04000000000000001
8,0.0001369574691357789,0.00014037438271607972,0.0002780294518518467,6.975999999880855e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,2,0.04000000000000001,0.04000000000000001
9,0.00036050777777785203,0.0014116631944444125,0.001782632083333291,1.0461111111026433e-05,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,2,0.04000000000000001,0.04000000000000001
10,0.0,0.0009064643703703412,0.0009064643703703412,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,2,0.04000000000000001,0.04000000000000001
11,0.0003544819444445402,0.0036927864747339223,0.004050599695606505,3.331276428042429e-06,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,2,0.04000000000000001,0.04000000000000001
12,0.0003931068672838878,0.0001697391975308271,0.0005628460648148259,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,2,0.04000000000000001,0.04000000000000001
13,0.001645421296296301,0.000487754398148077,0.002141948842592556,8.773148148177867e-06,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,2,0.04000000000000001,0.04000000000000001
14,0.001260190972222297,0.0005017648148148979,0.001770867824074207,8.912037037012155e-06,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,2,0.04000000000000001,0.04000000000000001
0,0.0011116634259259461,8.942617540119713e-05,0.0012095049254011725,8.415324074029229e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,3,0.04000000000000001,0.04000000000000001
1,0.0006936715856482589,0.0016825156148474463,0.0023996501634585554,2.346296296285022e-05,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,3,0.04000000000000001,0.04000000000000001
2,0.00014245115740751935,0.00045793222222223484,0.0006064435648148736,6.0601851851194155e-06,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,3,0.04000000000000001,0.04000000000000001
3,0.00016663194444443974,1.590477732793527e-05,0.000182536721772264,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,3,0.04000000000000001,0.04000000000000001
4,0.0010164726080246211,0.0014828859567900254,0.002534875231481326,3.551666666667952e-05,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,3,0.04000000000000001,0.04000000000000001
5,0.00011612222222223689,0.0002592746913578914,0.0003804006172838381,5.003703703709839e-06,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,3,0.04000000000000001,0.04000000000000001
6,0.0009126209490740722,0.0037531440058480303,0.004700107836866585,3.434288194448243e-05,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,3,0.04000000000000001,0.04000000000000001
7,0.0001889141203702538,1.0733333333234896e-05,0.00019964745370371073,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,3,0.04000000000000001,0.04000000000000001
8,0.00036675781249995154,0.0006799876543210903,0.0010646983024691359,1.7952835648094023e-05,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,3,0.04000000000000001,0.04000000000000001
9,0.0006246060069444725,0.0010696436921295849,0.0017077057175926003,1.3456018518542834e-05,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,3,0.04000000000000001,0.04000000000000001
10,0.0001546634259259605,0.0008438995555555273,0.0010217585833334208,2.3195601851933034e-05,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2,3,0.04000000000000001,0.04000000000000001
