kind,held_at,slope,effect
d/dq at fixed kappa,0.2,0.0,Lambda_prop
d/dq at fixed kappa,0.4,0.03172,Lambda_prop
d/dq at fixed kappa,0.6,0.07561276041666666,Lambda_prop
d/dq at fixed kappa,0.8,0.10580833333333334,Lambda_prop
d/dq at fixed kappa,1.0,0.1338984374999999,Lambda_prop
d/dkappa at fixed q,0.2,0.034716145833333316,Lambda_prop
d/dkappa at fixed q,0.4,0.07830989583333331,Lambda_prop
d/dkappa at fixed q,0.6,0.10575802083333329,Lambda_prop
d/dkappa at fixed q,0.8,0.13805572916666659,Lambda_prop
d/dkappa at fixed q,1.0,0.17578583333333325,Lambda_prop
d/dq at fixed kappa,0.2,8.291666666666664,T_rec_rec
d/dq at fixed kappa,0.4,18.95,T_rec_rec
d/dq at fixed kappa,0.6,34.83333333333333,T_rec_rec
d/dq at fixed kappa,0.8,50.058333333333344,T_rec_rec
d/dq at fixed kappa,1.0,57.88333333333333,T_rec_rec
d/dkappa at fixed q,0.2,16.65,T_rec_rec
d/dkappa at fixed q,0.4,27.250000000000004,T_rec_rec
d/dkappa at fixed q,0.6,40.583333333333336,T_rec_rec
d/dkappa at fixed q,0.8,54.375,T_rec_rec
d/dkappa at fixed q,1.0,68.23333333333335,T_rec_rec
