q_prop,kappa_prop,q_rec,kappa_rec,seed_design,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,T_rec__delta_prop,T_rec__delta_rec,T_rec__total,T_rec__delta_int,T_rec_bounded__delta_prop,T_rec_bounded__delta_rec,T_rec_bounded__total,T_rec_bounded__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,psi_prop,psi_rec
0.2,0.2,0.2,0.2,0,0.0006726544827674837,0.001179538735452305,0.001893615152280037,4.1421934060248414e-05,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,2.3333333333333335,0.0,0.0,2.3333333333333335,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.04000000000000001,0.04000000000000001
0.2,0.2,0.2,0.2,1,0.0007372253503086383,0.0009627671627914521,0.0017430151095750043,4.302259647491387e-05,0.0,0.0,0.0,0.0,0.0,1.9333333333333333,2.1333333333333333,0.2,0.0,1.9333333333333333,2.1333333333333333,0.2,0.0,0.0,0.0,0.0,0.04000000000000001,0.04000000000000001
0.2,0.2,0.2,0.2,2,0.000520426401491784,0.0007549438967278184,0.001280650936020559,5.280637800956593e-06,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.6666666666666667,0.0,0.0,1.6666666666666667,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.04000000000000001,0.04000000000000001
0.2,0.2,0.2,0.2,3,0.0005878168780864224,0.0013614331050275355,0.001966521886920547,1.7271903806589013e-05,0.0,0.0,0.0,0.0,0.0,2.4,2.466666666666667,0.06666666666666667,0.0,2.4,2.466666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.04000000000000001,0.04000000000000001
0.2,0.4,0.2,0.4,0,0.0018413496646090487,0.0027139632820285236,0.004762769174679993,0.00020745622804242044,0.009416666666666658,0.0,0.009416666666666658,0.0,0.0,5.266666666666667,5.666666666666667,0.4,0.0,5.266666666666667,5.666666666666667,0.4,0.0,0.0,0.0,0.0,0.08000000000000002,0.08000000000000002
0.2,0.4,0.2,0.4,1,0.001968255166666677,0.0022010410226982837,0.004389742201676627,0.00022044601231166656,0.008324166666666643,0.0,0.008324166666666643,0.0,0.0,4.4,5.133333333333334,0.7333333333333333,0.0,4.4,5.133333333333334,0.7333333333333333,0.0,0.0,0.0,0.0,0.08000000000000002,0.08000000000000002
0.2,0.4,0.2,0.4,2,0.001453604480452649,0.001715816017075992,0.003198654959101906,2.9234461573265e-05,0.003883333333333313,0.0,0.003883333333333313,0.0,0.06666666666666667,3.6666666666666665,3.6666666666666665,-0.06666666666666667,0.06666666666666667,3.6666666666666665,3.6666666666666665,-0.06666666666666667,0.0,0.0,0.0,0.0,0.08000000000000002,0.08000000000000002
0.2,0.4,0.2,0.4,3,0.0015816306975308632,0.0032061222506520512,0.004861217482975484,7.346453479257035e-05,0.005508333333333345,0.0,0.005508333333333345,0.0,0.06666666666666667,6.066666666666666,6.066666666666666,-0.06666666666666667,0.06666666666666667,6.066666666666666,6.066666666666666,-0.06666666666666667,0.0,0.0,0.0,0.0,0.08000000000000002,0.08000000000000002
0.2,0.6,0.2,0.6,0,0.003020663385802476,0.005017726147694127,0.008654101461349217,0.0006157119278526135,0.018639583333333317,0.0,0.018639583333333317,0.0,0.0,10.066666666666666,11.133333333333333,1.0666666666666667,0.0,10.066666666666666,11.133333333333333,1.0666666666666667,0.0,0.0,0.0,0.0,0.12,0.12
0.2,0.6,0.2,0.6,1,0.003205223722222228,0.00401806872318992,0.007796689246016508,0.0005733968006043607,0.018856249999999974,0.0,0.018856249999999974,0.0,0.0,8.2,9.4,1.2,0.0,8.2,9.4,1.2,0.0,0.0,0.0,0.0,0.12,0.12
