metric,channel,n,n_missing,mean,median,ci_low,ci_high,ci_halfwidth
loss,delta_prop,1000,0,0.010998022711155556,0.010441756284862842,0.010652158589519758,0.011350720398808876,0.00034928090464455934
loss,delta_rec,1000,0,0.006216282363596573,0.0025789078485224035,0.005674140193874106,0.006793821475753453,0.0005598406409396735
loss,delta_int,1000,0,0.0008401592942409801,0.0005526197008299052,0.0007878740107031837,0.0008954851833102734,5.380558630354486e-05
loss,total,1000,0,0.01805446436899311,0.014263484576242741,0.01724042534030213,0.01888478483181482,0.0008221797457563448
Lambda,delta_prop,1000,0,0.04711741340176821,0.035490686936088756,0.04459925646784727,0.049864113526384715,0.0026324285292687218
Lambda,delta_rec,1000,0,0.0,0.0,0.0,0.0,0.0
Lambda,delta_int,1000,0,0.0,0.0,0.0,0.0,0.0
Lambda,total,1000,0,0.04711741340176821,0.035490686936088756,0.04459925646784727,0.049864113526384715,0.0026324285292687218
T_rec,delta_prop,1000,0,2.0,0.0,1.74,2.26,0.2599999999999999
T_rec,delta_rec,1000,0,53.56,30.0,49.789500000000004,57.49,3.850249999999999
T_rec,delta_int,1000,0,2.48,0.0,2.12,2.85,0.365
T_rec,total,1000,0,58.04,40.0,54.26975,61.99,3.860125
lock_in,delta_prop,1000,0,0.0,0.0,0.0,0.0,0.0
lock_in,delta_rec,1000,0,0.0,0.0,0.0,0.0,0.0
lock_in,delta_int,1000,0,0.0,0.0,0.0,0.0,0.0
lock_in,total,1000,0,0.0,0.0,0.0,0.0,0.0
