replication,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,T_rec__delta_prop,T_rec__delta_rec,T_rec__total,T_rec__delta_int,T_rec_bounded__delta_prop,T_rec_bounded__delta_rec,T_rec_bounded__total,T_rec_bounded__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,any_censored
0,0.007445706191276394,0.001286510300154503,0.008994258275049002,0.0002620417836181055,0.02027741623072815,0.0,0.02027741623072815,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,False
1,0.0124369486870691,0.0016378822815780042,0.01438667029123221,0.0003118393225851057,0.11131383141769635,0.0,0.11131383141769635,0.0,0.0,20.0,30.0,10.0,0.0,20.0,30.0,10.0,0.0,0.0,0.0,0.0,False
2,0.008648007006050312,0.012441724208900301,0.021939842721275415,0.0008501115063248021,0.03733081047978859,0.0,0.03733081047978859,0.0,0.0,90.0,100.0,10.0,0.0,90.0,100.0,10.0,0.0,0.0,0.0,0.0,False
3,0.010206390971785606,0.002397355976222995,0.013325786649510604,0.000722039701502003,0.02688921344963685,0.0,0.02688921344963685,0.0,0.0,20.0,30.0,10.0,0.0,20.0,30.0,10.0,0.0,0.0,0.0,0.0,False
4,0.006592904472689898,0.009836472589887402,0.017223705968651692,0.000794328906074393,0.012778766536125308,0.0,0.012778766536125308,0.0,0.0,80.0,90.0,10.0,0.0,80.0,90.0,10.0,0.0,0.0,0.0,0.0,False
5,0.0024743356795441027,9.624050592550032e-05,0.0026815694838333015,0.00011099329836369853,0.004517899400030889,0.0,0.004517899400030889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
6,0.004031701795112488,0.009441381620233794,0.01366442268405299,0.00019133926870670837,0.0057254251252907284,0.0,0.0057254251252907284,0.0,0.0,80.0,80.0,0.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,False
7,0.001994913300239501,0.00011990912220320032,0.0022766224382047007,0.00016180001576199948,0.013303193820030701,0.0,0.013303193820030701,0.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,False
8,0.002973965124678603,0.0005933826332646039,0.003826667765291801,0.00025932000734859434,0.024920878219641007,0.0,0.024920878219641007,0.0,0.0,10.0,20.0,10.0,0.0,10.0,20.0,10.0,0.0,0.0,0.0,0.0,False
9,0.0067170580778568995,0.0025484931698145086,0.009615792735587103,0.0003502414879156951,0.00946181410784297,0.0,0.00946181410784297,0.0,0.0,20.0,30.0,10.0,0.0,20.0,30.0,10.0,0.0,0.0,0.0,0.0,False
10,0.0059698596537784004,0.0079035432529804,0.014967664535513098,0.0010942616287542978,0.00604983212341631,0.0,0.00604983212341631,0.0,0.0,80.0,80.0,0.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,False
11,0.018240100611560103,0.0008772375306373981,0.01953562697455591,0.0004182888323584072,0.12400931119227543,0.0,0.12400931119227543,0.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,False
12,0.013548589792043791,0.008667201192929685,0.02393887977388079,0.001723088788907312,0.06221951940735215,0.0,0.06221951940735215,0.0,0.0,90.0,90.0,0.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,False
