replication,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,any_censored,q_prop,kappa_prop,q_rec,kappa_rec
0,0.0005912718832811054,0.0004887068348005952,0.0010977524982906939,1.777378020899334e-05,0.0010595469625118148,0.0,0.0010595469625118148,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
1,0.0015674953353421034,0.0,0.0015674953353421034,0.0,0.012676226781297428,0.0,0.012676226781297428,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
2,0.0009491470229582022,2.4777593900821016e-05,0.0009733858004847273,-5.388163742958696e-07,0.009501108701331806,0.0,0.009501108701331806,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
3,0.0017941617209354943,-5.692342850194265e-06,0.0018104979932719034,2.2028615186603373e-05,0.006729031904328608,0.0,0.006729031904328608,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
4,0.0004743613781500039,0.002008051855090204,0.0025038786249270972,2.1465391686889546e-05,0.0007485109141733837,0.0,0.0007485109141733837,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
5,0.00023559340681820334,0.0,0.00023559340681820334,0.0,0.0010451109560227767,0.0,0.0010451109560227767,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
6,0.0004305157899678891,0.000808111668911593,0.0012459773588579942,7.349899978512098e-06,0.0011550955451438139,0.0,0.0011550955451438139,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
7,0.0,5.5484864538497825e-05,5.5484864538497825e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
8,0.0,0.00025939148866520323,0.00025939148866520323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
9,0.0005082518649963119,0.0007626977805396118,0.0012713610718323998,4.1142629647605844e-07,0.0019220374404639862,0.0,0.0019220374404639862,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
10,0.00032336189504120205,0.0018194766829417036,0.0021505045148391966,7.665936856290911e-06,0.0017879160073902,0.0,0.0017879160073902,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
11,0.0024428585363567984,2.336706068170602e-05,0.002465443102490708,-7.824945477963308e-07,0.010299195810922201,0.0,0.010299195810922201,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
12,0.0021811226340345963,0.00010947131791649856,0.0022919237076023946,1.32975565129978e-06,0.016305132429824565,0.0,0.016305132429824565,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
13,0.000697074727910113,0.0010212111011421998,0.001746891469251527,2.8605640199214077e-05,0.0011869732460775273,0.0,0.0011869732460775273,0.0,0.0,0.0,0.0,0.0,False,0.2,0.2,0.2,0.2
