metric,channel,n,n_missing,mean,median,ci_low,ci_high,ci_halfwidth
loss,delta_prop,1000,0,0.007208374523930628,0.006315791630929057,0.006915052306788339,0.0075014323120806805,0.00029319000264617064
loss,delta_rec,1000,0,0.021891141927412892,0.016247958205441046,0.020626759025614352,0.023154126838512035,0.0012636839064488412
loss,delta_int,1000,0,0.04515662606573767,0.0028356354466758486,0.03885584271806409,0.051798417155789804,0.006471287218862858
loss,total,1000,0,0.07425614251708121,0.033540769569927055,0.06740900894277944,0.08149087279775032,0.007040931927485436
Lambda,delta_prop,1000,0,0.036398847251990774,0.02955543653337811,0.03446291854026549,0.038498592102387506,0.0020178367810610096
Lambda,delta_rec,1000,0,4.739352715832368e-12,0.0,-1.8385045361113398e-13,1.3721540911143525e-11,6.9526956823773294e-12
Lambda,delta_int,1000,0,-6.605040320240008e-12,0.0,-1.796269501058711e-11,9.568057880715578e-13,9.459750399329334e-12
Lambda,total,1000,0,0.036398847250125085,0.02955543653337811,0.03446291853562884,0.03849859209389468,0.00201783677913292
T_rec,delta_prop,999,1,0.09009009009009009,0.0,0.03003003003003003,0.16016016016016016,0.06506506506506507
T_rec,delta_rec,975,25,648.0,570.0,622.3382051282051,673.4684615384616,25.565128205128246
T_rec,delta_int,613,387,-7.977161500815661,10.0,-16.821778140293628,0.7834420880913555,8.802610114192492
T_rec,total,617,383,515.1863857374392,460.0,488.3739870340357,543.3083468395462,27.467179902755248
lock_in,delta_prop,1000,0,0.0,0.0,0.0,0.0,0.0
lock_in,delta_rec,1000,0,0.024,0.0,0.015,0.034,0.009500000000000001
lock_in,delta_int,1000,0,0.358,0.0,0.328,0.388,0.03
lock_in,total,1000,0,0.382,0.0,0.352,0.414,0.031
