replication,loss__delta_prop,loss__delta_rec,loss__total,loss__delta_int,Lambda__delta_prop,Lambda__delta_rec,Lambda__total,Lambda__delta_int,T_rec__delta_prop,T_rec__delta_rec,T_rec__total,T_rec__delta_int,T_rec_bounded__delta_prop,T_rec_bounded__delta_rec,T_rec_bounded__total,T_rec_bounded__delta_int,lock_in__delta_prop,lock_in__delta_rec,lock_in__total,lock_in__delta_int,any_censored
0,0.0227725232171629,0.0200724538926923,0.10374742853114091,0.06090245142128571,0.111151260257432,0.0,0.111151260257432,0.0,0.0,490.0,,,0.0,490.0,4090.0,3600.0,0.0,0.0,1.0,1.0,True
1,0.011826852314069325,0.028461729769610006,0.0866760994743378,0.04638751739065847,0.030294646614636433,0.0,0.030294646614636433,0.0,0.0,1730.0,,,0.0,1730.0,3140.0,1410.0,0.0,0.0,1.0,1.0,True
2,0.005811801906536906,0.017957607204345402,0.0221114741592479,-0.00165793495163441,0.027335528970504397,0.0,0.027335528970504397,0.0,0.0,510.0,540.0,30.0,0.0,510.0,540.0,30.0,0.0,0.0,0.0,0.0,False
3,0.006548397475135796,0.0032195786151269987,0.0654226228502261,0.0556546467599633,0.06543230670506839,0.0,0.06543230670506839,0.0,0.0,130.0,,,0.0,130.0,5360.0,5230.0,0.0,0.0,1.0,1.0,True
4,0.011449246732589596,0.021030706956283396,0.2885212465906387,0.2560412929017657,0.033053404886181914,0.0,0.033053404886181914,0.0,0.0,790.0,,,0.0,790.0,4040.0,3250.0,0.0,0.0,1.0,1.0,True
5,0.0008733541707754006,0.00039560143567180135,0.001551298538545201,0.00028234293209799914,0.01046553394419851,0.0,0.01046553394419851,0.0,0.0,50.0,60.0,10.0,0.0,50.0,60.0,10.0,0.0,0.0,0.0,0.0,False
6,0.007086068541417606,0.03708378859116149,0.0866780603104915,0.0425082031779124,0.016947970994683592,0.0,0.016947970994683592,0.0,0.0,1170.0,,,0.0,1170.0,2670.0,1500.0,0.0,0.0,1.0,1.0,True
7,0.0138025803346183,0.021801761890848093,0.03410147081707848,-0.0015028714083879097,0.2602299586430675,0.0,0.2602299586430675,0.0,0.0,430.0,590.0,160.0,0.0,430.0,590.0,160.0,0.0,0.0,0.0,0.0,False
8,0.001976401436749098,0.013976963275598595,0.014932677266626296,-0.0010206874457213966,0.01871788623615661,0.0,0.01871788623615661,0.0,0.0,560.0,550.0,-10.0,0.0,560.0,550.0,-10.0,0.0,0.0,0.0,0.0,False
9,0.0012107444931864011,0.0053277146028182995,0.005617650364207201,-0.0009208087317974997,0.024829680970282375,0.0,0.024829680970282375,0.0,0.0,150.0,150.0,0.0,0.0,150.0,150.0,0.0,0.0,0.0,0.0,0.0,False
10,0.003824271554348606,0.006411759040956602,0.008186844385783001,-0.0020491862095222066,0.06476944274042129,0.0,0.06476944274042129,0.0,0.0,210.0,230.0,20.0,0.0,210.0,230.0,20.0,0.0,0.0,0.0,0.0,False
11,0.015346987729094513,0.06828534707080242,0.07930786628935649,-0.004324468510540441,0.02226022133444605,0.0,0.02226022133444605,0.0,0.0,1370.0,1350.0,-20.0,0.0,1370.0,1350.0,-20.0,0.0,0.0,0.0,0.0,False
12,0.016037515456374912,0.08183259717129229,0.15791824504326843,0.060048132415601224,0.04295247605608421,0.0,0.04295247605608421,0.0,0.0,1380.0,,,0.0,1380.0,3370.0,1990.0,0.0,0.0,1.0,1.0,True
13,0.0031830595363721015,0.004109182550082295,0.0581100599431879,0.050817817856733505,0.04969183757230211,0.0,0.04969183757230211,0.0,0.0,160.0,,,0.0,160.0,5280.0,5120.0,0.0,0.0,1.0,1.0,True
14,0.003850487035864797,0.009645229518316895,0.016114247726159103,0.002618531171977412,0.034613652417760266,0.0,0.034613652417760266,0.0,0.0,330.0,240.0,-90.0,0.0,330.0,240.0,-90.0,0.0,0.0,0.0,0.0,False
15,0.005389625301905794,0.015447313776092493,0.020359407511239692,-0.0004775315667585947,0.0425653537034405,0.0,0.0425653537034405,0.0,0.0,470.0,500.0,30.0,0.0,470.0,500.0,30.0,0.0,0.0,0.0,0.0,False
16,0.030965631863061893,0.131436537074959,0.11254080349252527,-0.04986136544549563,0.05890169352835117,0.0,0.05890169352835117,0.0,0.0,,,,0.0,1680.0,1680.0,0.0,0.0,1.0,1.0,0.0,True
17,0.0028519652317377936,0.007933076097869002,0.012176395181505498,0.0013913538518987023,0.0051672366261765745,0.0,0.0051672366261765745,0.0,0.0,470.0,520.0,50.0,0.0,470.0,520.0,50.0,0.0,0.0,0.0,0.0,False
18,0.009910989242179188,0.012157831696076593,0.02766260138030069,0.005593780442044907,0.04369386397858177,0.0,0.04369386397858177,0.0,0.0,350.0,380.0,30.0,0.0,350.0,380.0,30.0,0.0,0.0,0.0,0.0,False
19,0.01584250953328098,0.07617501718863479,0.17772852519035498,0.08571099846843921,0.030333841017134433,0.0,0.030333841017134433,0.0,0.0,1850.0,,,0.0,1850.0,2010.0,160.0,0.0,0.0,1.0,1.0,True
20,0.00950483616337211,0.028124703900067105,0.25462807177260494,0.21699853170916572,0.03267278769866855,0.0,0.03267278769866855,0.0,0.0,840.0,,,0.0,840.0,3880.0,3040.0,0.0,0.0,1.0,1.0,True
21,0.003833643816870097,0.013602480177533793,0.02465486597520239,0.007218741980798499,0.014912099311150784,0.0,0.014912099311150784,0.0,0.0,610.0,670.0,60.0,0.0,610.0,670.0,60.0,0.0,0.0,0.0,0.0,False
22,0.0085309981399872,0.011149679771214505,0.015320389628011202,-0.004360288283190503,0.0747979204706064,0.0,0.0747979204706064,0.0,0.0,300.0,320.0,20.0,0.0,300.0,320.0,20.0,0.0,0.0,0.0,0.0,False
23,0.0016003334291359028,0.0075684500393303,0.0095167473980916,0.00034796392962539724,0.02859708099342706,0.0,0.02859708099342706,0.0,0.0,270.0,250.0,-20.0,0.0,270.0,250.0,-20.0,0.0,0.0,0.0,0.0,False
24,0.008986312724362011,0.020116735229419813,0.0940809721963502,0.06497792424256837,0.06234216900988021,0.0,0.06234216900988021,0.0,0.0,610.0,,,0.0,610.0,4730.0,4120.0,0.0,0.0,1.0,1.0,True
25,0.0006796163470630945,0.0017137296897648951,0.0024124451497039984,1.909911287600874e-05,0.004494254518676577,0.0,0.004494254518676577,0.0,0.0,120.0,120.0,0.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,False
26,0.008290042012270897,0.0068348710072813,0.023590727452000693,0.008465814432448496,0.0948637479473744,0.0,0.0948637479473744,0.0,0.0,380.0,360.0,-20.0,0.0,380.0,360.0,-20.0,0.0,0.0,0.0,0.0,False
27,0.0037225154918699016,0.02491004031422929,0.02501595996439311,-0.00361659584170608,0.029936349614502866,0.0,0.029936349614502866,0.0,0.0,580.0,580.0,0.0,0.0,580.0,580.0,0.0,0.0,0.0,0.0,0.0,False
28,0.010630403094956303,0.028519744355601506,0.03766007742567179,-0.00149007002488602,0.03393278310906711,0.0,0.03393278310906711,0.0,0.0,840.0,960.0,120.0,0.0,840.0,960.0,120.0,0.0,0.0,0.0,0.0,False
29,0.0008165472919695049,0.002739477947227495,0.0035614007774431994,5.375538246199518e-06,1.2703441657935244e-05,0.0,1.2703441657935244e-05,0.0,0.0,120.0,120.0,0.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,False
30,0.0234320855899377,0.053409612426560005,0.0918669506030918,0.015025252586594096,0.06934282684097914,0.0,0.06934282684097914,0.0,0.0,1570.0,,,0.0,1570.0,2040.0,470.0,0.0,0.0,1.0,1.0,True
31,0.009179580492696099,0.02034227528422408,0.032229183859097676,0.002707328082177496,0.042413014925521075,0.0,0.042413014925521075,0.0,0.0,690.0,740.0,50.0,0.0,690.0,740.0,50.0,0.0,0.0,0.0,0.0,False
32,0.009801154592998407,0.044541789488354716,0.04308127128856651,-0.011261672792786614,0.05002436768384522,0.0,0.05002436768384522,0.0,0.0,850.0,890.0,40.0,0.0,850.0,890.0,40.0,0.0,0.0,0.0,0.0,False
33,0.0082160671527364,0.00992066499647612,0.0475438344708648,0.02940710232165228,0.03210223946337165,0.0,0.03210223946337165,0.0,0.0,650.0,,,0.0,650.0,4030.0,3380.0,0.0,0.0,1.0,1.0,True
34,0.007596561538398688,0.020880885566293,0.07458131342941471,0.04610386632472302,0.0192517886708391,0.0,0.0192517886708391,0.0,0.0,770.0,,,0.0,770.0,3980.0,3210.0,0.0,0.0,1.0,1.0,True
35,0.008778488531982598,0.0214933918166971,0.036707505721502,0.006435625372822301,0.024839556449574474,0.0,0.024839556449574474,0.0,0.0,1140.0,1140.0,0.0,0.0,1140.0,1140.0,0.0,0.0,0.0,0.0,0.0,False
36,0.0033002198608409056,0.015617791644768397,0.017894805147537496,-0.001023206358071807,0.036079456400404,0.0,0.036079456400403886,-1.1102230246251565e-16,0.0,420.0,460.0,40.0,0.0,420.0,460.0,40.0,0.0,0.0,0.0,0.0,False
