q_prop,kappa_prop,q_rec,kappa_rec,mean_delta_prop,mean_delta_rec,mean_delta_int,metric,n,mean_int,mean_total,total_ci_low,total_ci_high,total_is_positive,share,share_ci_low,share_ci_high
0.2,0.2,0.2,0.2,0.0007085509014317786,0.0024861388788806195,3.642934507778415e-05,loss,200,3.642934507778415e-05,0.003231119125390183,0.002802235824297793,0.0036805112578225012,True,0.011274528627410177,0.006369592355562077,0.018176757203265566
0.2,0.4,0.2,0.4,0.0016163138638043103,0.005693952489910499,0.0001351679151679743,loss,200,0.0001351679151679743,0.007445434268882782,0.0064711799319774966,0.008460202190308217,True,0.018154470281591353,0.014531592576396505,0.022253065252354983
0.2,0.6,0.2,0.6,0.002646249892731225,0.01150715131784797,0.0006056484480935461,loss,200,0.0006056484480935461,0.014759049658672741,0.012787773282298713,0.016812165314536564,True,0.04103573482711698,0.03422525186668268,0.04888710002170753
0.2,0.8,0.2,0.8,0.003452006527469455,0.008307012768556806,0.0003230305498675797,loss,200,0.0003230305498675797,0.01208204984589384,0.01031210867812122,0.014088298488313592,True,0.026736402679001004,-0.05377938920253216,0.10787986881252204
0.2,1.0,0.2,1.0,0.0034895413767790373,0.0077405652344775385,0.0017756698693598572,loss,200,0.0017756698693598572,0.013005776480616434,0.010203357726530315,0.016058934498028764,True,0.1365293238743786,0.01415192987786763,0.23385196756226
0.35,0.2,0.35,0.2,0.0014749901499851415,0.005758094874179326,0.0003256407726325401,loss,200,0.0003256407726325401,0.007558725796797008,0.0066567014270691215,0.008496158369343419,True,0.04308143745213375,0.030011597103539137,0.05854162127717049
0.35,0.4,0.35,0.4,0.0028822861505540553,0.013796629611915596,0.0009528924079026703,loss,200,0.0009528924079026703,0.017631808170372323,0.015536209408308042,0.019873297101239633,True,0.0540439414208162,0.047883743450209716,0.06046212504369147
0.35,0.6,0.35,0.6,0.00437982637812614,0.028689364890782932,0.0036257316966242705,loss,200,0.0036257316966242705,0.036694922965533346,0.03222827240403297,0.041448446270786636,True,0.09880744810473734,0.08592693948715709,0.11265506425847675
0.35,0.8,0.35,0.8,0.005708334704224687,0.01826825251188791,0.06570912992075958,loss,200,0.06570912992075958,0.08968571713687218,0.06594518218611407,0.1146960839285362,True,0.7326599152959754,0.6557975470698035,0.781679204162775
0.35,1.0,0.35,1.0,0.0067263413221159965,0.01368871660322181,0.07166745220673582,loss,200,0.07166745220673582,0.09208251013207364,0.0699882455384769,0.11547724780573135,True,0.7782960315041741,0.73122022055457,0.8138967450561961
0.5,0.2,0.5,0.2,0.001932434403533922,0.007321939890042457,0.0005391635892780842,loss,200,0.0005391635892780842,0.009793537882854465,0.00865772141620901,0.010971861452205611,True,0.05505299471215578,0.04166681121148176,0.07019113017944527
0.5,0.4,0.5,0.4,0.0039030337333223098,0.01755150401954706,0.0018238851212417618,loss,200,0.0018238851212417618,0.02327842287411113,0.02063799590791598,0.02601911844138363,True,0.07835088876532859,0.07026736827065733,0.08729094655761366
0.5,0.6,0.5,0.6,0.005864639885661832,0.036371986330742935,0.006548189915923197,loss,200,0.006548189915923197,0.04878481613232797,0.04321062787146631,0.054537531150673446,True,0.1342259833092605,0.12043681552173441,0.14917994416108438
0.5,0.8,0.5,0.8,0.007375425271498229,0.02316683566711415,0.046036256838059515,loss,200,0.046036256838059515,0.0765785177766719,0.061403785753312096,0.09410225662562613,True,0.6011641146191462,0.5214079136877995,0.665184476901782
0.5,1.0,0.5,1.0,0.007953069455399264,0.015518566600368367,0.0679534052856373,loss,200,0.0679534052856373,0.09142504134140493,0.07353500173035304,0.11153211145367271,True,0.7432690681744575,0.695097073911368,0.7808407851611041
0.75,0.2,0.75,0.2,0.004192232761910843,0.01316560209950094,0.001317139939626697,loss,200,0.001317139939626697,0.01867497480103848,0.01670768236309879,0.020695159130417917,True,0.07052967694250668,0.05973589645540075,0.08244892744938015
0.75,0.4,0.75,0.4,0.00804521749341151,0.03048849497819661,0.004710159809440491,loss,200,0.004710159809440491,0.04324387228104861,0.03884485494588009,0.04792748152176082,True,0.10892086117608606,0.09929461581310146,0.11865871731101396
0.75,0.6,0.75,0.6,0.011788140637263857,0.06209840143927637,0.01778211711198225,loss,200,0.01778211711198225,0.09166865918852247,0.08228262178938021,0.1013962861569686,True,0.19398251560996638,0.17821695852602634,0.21039338869737034
0.75,0.8,0.75,0.8,0.014628553324593332,0.04970984190833834,0.15664656703545884,loss,200,0.15664656703545884,0.22098496226839054,0.1961669445292957,0.24541469317059536,True,0.7088562290732188,0.6787145330088858,0.736187419780341
0.75,1.0,0.75,1.0,0.01646878619063677,0.04005595456544397,0.18239716425396144,loss,200,0.18239716425396144,0.23892190501004218,0.21335192489723828,0.26427096815476686,True,0.7634175034988736,0.7389283070470506,0.7858953822846966
1.0,0.2,1.0,0.2,0.005072165595467637,0.016245688071832784,0.0021224964841274397,loss,200,0.0021224964841274397,0.023440350151427865,0.020970167606424155,0.02603144816304708,True,0.09054883866562669,0.07833268662028821,0.10466417054014668
1.0,0.4,1.0,0.4,0.009655569586349957,0.03764222644529889,0.007298722824187592,loss,200,0.007298722824187592,0.05459651885583645,0.04905261433372693,0.06044601513451505,True,0.13368476557012843,0.12266684819773563,0.14523864301236972
1.0,0.6,1.0,0.6,0.013959391750635364,0.0765214998906113,0.027009808189052263,loss,200,0.027009808189052263,0.11749069983029893,0.10576323640338706,0.1297190157672165,True,0.22988890378612653,0.2133593556986239,0.2470531977948529
1.0,0.8,1.0,0.8,0.01712091821155699,0.06434546957191173,0.26377588418816633,loss,200,0.26377588418816633,0.3452422719716351,0.3210883824446621,0.3690397060958923,True,0.7640312487858902,0.7448568298803533,0.7820638490405663
1.0,1.0,1.0,1.0,0.019249093584987977,0.05260225066072759,0.3097408235716225,loss,200,0.3097408235716225,0.381592167817338,0.35824801341575774,0.4040263480970882,True,0.8117064491740051,0.7974446479958925,0.8249315122864834
