phase,source,target,kappa,case,q_requested,kappa_requested
propagation,E:2,T:7,0.2,1,0.2,0.2
propagation,E:2,T:8,0.2,1,0.2,0.2
propagation,E:16,T:12,0.2,1,0.2,0.2
propagation,E:26,T:14,0.2,1,0.2,0.2
propagation,E:22,T:18,0.2,1,0.2,0.2
restoration,T:6,E:1,0.2,1,0.2,0.2
restoration,T:3,E:8,0.2,1,0.2,0.2
restoration,T:3,E:9,0.2,1,0.2,0.2
restoration,T:3,E:12,0.2,1,0.2,0.2
restoration,T:6,E:19,0.2,1,0.2,0.2
restoration,T:1,E:21,0.2,1,0.2,0.2
restoration,T:20,E:24,0.2,1,0.2,0.2
propagation,E:2,T:7,0.4,1,0.2,0.4
propagation,E:2,T:8,0.4,1,0.2,0.4
propagation,E:16,T:12,0.4,1,0.2,0.4
propagation,E:26,T:14,0.4,1,0.2,0.4
propagation,E:22,T:18,0.4,1,0.2,0.4
restoration,T:6,E:1,0.4,1,0.2,0.4
restoration,T:3,E:8,0.4,1,0.2,0.4
restoration,T:3,E:9,0.4,1,0.2,0.4
restoration,T:3,E:12,0.4,1,0.2,0.4
restoration,T:6,E:19,0.4,1,0.2,0.4
restoration,T:1,E:21,0.4,1,0.2,0.4
restoration,T:20,E:24,0.4,1,0.2,0.4
propagation,E:2,T:7,0.6,1,0.2,0.6
propagation,E:2,T:8,0.6,1,0.2,0.6
propagation,E:16,T:12,0.6,1,0.2,0.6
propagation,E:26,T:14,0.6,1,0.2,0.6
propagation,E:22,T:18,0.6,1,0.2,0.6
restoration,T:6,E:1,0.6,1,0.2,0.6
restoration,T:3,E:8,0.6,1,0.2,0.6
restoration,T:3,E:9,0.6,1,0.2,0.6
restoration,T:3,E:12,0.6,1,0.2,0.6
restoration,T:6,E:19,0.6,1,0.2,0.6
restoration,T:1,E:21,0.6,1,0.2,0.6
restoration,T:20,E:24,0.6,1,0.2,0.6
propagation,E:2,T:7,0.8,1,0.2,0.8
propagation,E:2,T:8,0.8,1,0.2,0.8
propagation,E:16,T:12,0.8,1,0.2,0.8
propagation,E:26,T:14,0.8,1,0.2,0.8
propagation,E:22,T:18,0.8,1,0.2,0.8
restoration,T:6,E:1,0.8,1,0.2,0.8
restoration,T:3,E:8,0.8,1,0.2,0.8
restoration,T:3,E:9,0.8,1,0.2,0.8
restoration,T:3,E:12,0.8,1,0.2,0.8
restoration,T:6,E:19,0.8,1,0.2,0.8
restoration,T:1,E:21,0.8,1,0.2,0.8
restoration,T:20,E:24,0.8,1,0.2,0.8
propagation,E:2,T:7,1.0,1,0.2,1.0
propagation,E:2,T:8,1.0,1,0.2,1.0
propagation,E:16,T:12,1.0,1,0.2,1.0
propagation,E:26,T:14,1.0,1,0.2,1.0
propagation,E:22,T:18,1.0,1,0.2,1.0
restoration,T:6,E:1,1.0,1,0.2,1.0
restoration,T:3,E:8,1.0,1,0.2,1.0
restoration,T:3,E:9,1.0,1,0.2,1.0
restoration,T:3,E:12,1.0,1,0.2,1.0
