case,phase,q_requested,kappa_requested,n_target_universe,n_targets_coupled,q_realised,n_edges
1,propagation,0.2,0.2,24,5,0.20833333333333334,5
1,restoration,0.2,0.2,33,7,0.21212121212121213,7
1,propagation,0.2,0.4,24,5,0.20833333333333334,5
1,restoration,0.2,0.4,33,7,0.21212121212121213,7
1,propagation,0.2,0.6,24,5,0.20833333333333334,5
1,restoration,0.2,0.6,33,7,0.21212121212121213,7
1,propagation,0.2,0.8,24,5,0.20833333333333334,5
1,restoration,0.2,0.8,33,7,0.21212121212121213,7
1,propagation,0.2,1.0,24,5,0.20833333333333334,5
1,restoration,0.2,1.0,33,7,0.21212121212121213,7
1,propagation,0.35,0.2,24,8,0.3333333333333333,8
1,restoration,0.35,0.2,33,12,0.36363636363636365,12
1,propagation,0.35,0.4,24,8,0.3333333333333333,8
1,restoration,0.35,0.4,33,12,0.36363636363636365,12
1,propagation,0.35,0.6,24,8,0.3333333333333333,8
1,restoration,0.35,0.6,33,12,0.36363636363636365,12
1,propagation,0.35,0.8,24,8,0.3333333333333333,8
1,restoration,0.35,0.8,33,12,0.36363636363636365,12
1,propagation,0.35,1.0,24,8,0.3333333333333333,8
1,restoration,0.35,1.0,33,12,0.36363636363636365,12
1,propagation,0.5,0.2,24,12,0.5,12
1,restoration,0.5,0.2,33,16,0.48484848484848486,16
1,propagation,0.5,0.4,24,12,0.5,12
1,restoration,0.5,0.4,33,16,0.48484848484848486,16
1,propagation,0.5,0.6,24,12,0.5,12
1,restoration,0.5,0.6,33,16,0.48484848484848486,16
1,propagation,0.5,0.8,24,12,0.5,12
1,restoration,0.5,0.8,33,16,0.48484848484848486,16
1,propagation,0.5,1.0,24,12,0.5,12
1,restoration,0.5,1.0,33,16,0.48484848484848486,16
1,propagation,0.75,0.2,24,18,0.75,18
1,restoration,0.75,0.2,33,25,0.7575757575757576,25
1,propagation,0.75,0.4,24,18,0.75,18
1,restoration,0.75,0.4,33,25,0.7575757575757576,25
1,propagation,0.75,0.6,24,18,0.75,18
1,restoration,0.75,0.6,33,25,0.7575757575757576,25
1,propagation,0.75,0.8,24,18,0.75,18
1,restoration,0.75,0.8,33,25,0.7575757575757576,25
1,propagation,0.75,1.0,24,18,0.75,18
1,restoration,0.75,1.0,33,25,0.7575757575757576,25
1,propagation,1.0,0.2,24,24,1.0,24
1,restoration,1.0,0.2,33,33,1.0,33
1,propagation,1.0,0.4,24,24,1.0,24
1,restoration,1.0,0.4,33,33,1.0,33
1,propagation,1.0,0.6,24,24,1.0,24
1,restoration,1.0,0.6,33,33,1.0,33
1,propagation,1.0,0.8,24,24,1.0,24
1,restoration,1.0,0.8,33,33,1.0,33
1,propagation,1.0,1.0,24,24,1.0,24
1,restoration,1.0,1.0,33,33,1.0,33
2,propagation,0.2,0.2,24,5,0.20833333333333334,5
2,restoration,0.2,0.2,117,23,0.19658119658119658,23
2,propagation,0.2,0.4,24,5,0.20833333333333334,5
2,restoration,0.2,0.4,117,23,0.19658119658119658,23
2,propagation,0.2,0.6,24,5,0.20833333333333334,5
2,restoration,0.2,0.6,117,23,0.19658119658119658,23
2,propagation,0.2,0.8,24,5,0.20833333333333334,5
2,restoration,0.2,0.8,117,23,0.19658119658119658,23
2,propagation,0.2,1.0,24,5,0.20833333333333334,5
2,restoration,0.2,1.0,117,23,0.19658119658119658,23
2,propagation,0.35,0.2,24,8,0.3333333333333333,8
2,restoration,0.35,0.2,117,41,0.3504273504273504,41
2,propagation,0.35,0.4,24,8,0.3333333333333333,8
2,restoration,0.35,0.4,117,41,0.3504273504273504,41
2,propagation,0.35,0.6,24,8,0.3333333333333333,8
2,restoration,0.35,0.6,117,41,0.3504273504273504,41
2,propagation,0.35,0.8,24,8,0.3333333333333333,8
2,restoration,0.35,0.8,117,41,0.3504273504273504,41
2,propagation,0.35,1.0,24,8,0.3333333333333333,8
2,restoration,0.35,1.0,117,41,0.3504273504273504,41
2,propagation,0.5,0.2,24,12,0.5,12
2,restoration,0.5,0.2,117,58,0.49572649572649574,58
2,propagation,0.5,0.4,24,12,0.5,12
2,restoration,0.5,0.4,117,58,0.49572649572649574,58
2,propagation,0.5,0.6,24,12,0.5,12
2,restoration,0.5,0.6,117,58,0.49572649572649574,58
2,propagation,0.5,0.8,24,12,0.5,12
2,restoration,0.5,0.8,117,58,0.49572649572649574,58
2,propagation,0.5,1.0,24,12,0.5,12
2,restoration,0.5,1.0,117,58,0.49572649572649574,58
2,propagation,0.75,0.2,24,18,0.75,18
2,restoration,0.75,0.2,117,88,0.7521367521367521,88
2,propagation,0.75,0.4,24,18,0.75,18
2,restoration,0.75,0.4,117,88,0.7521367521367521,88
2,propagation,0.75,0.6,24,18,0.75,18
2,restoration,0.75,0.6,117,88,0.7521367521367521,88
2,propagation,0.75,0.8,24,18,0.75,18
2,restoration,0.75,0.8,117,88,0.7521367521367521,88
2,propagation,0.75,1.0,24,18,0.75,18
2,restoration,0.75,1.0,117,88,0.7521367521367521,88
2,propagation,1.0,0.2,24,24,1.0,24
2,restoration,1.0,0.2,117,117,1.0,117
2,propagation,1.0,0.4,24,24,1.0,24
2,restoration,1.0,0.4,117,117,1.0,117
2,propagation,1.0,0.6,24,24,1.0,24
2,restoration,1.0,0.6,117,117,1.0,117
2,propagation,1.0,0.8,24,24,1.0,24
2,restoration,1.0,0.8,117,117,1.0,117
2,propagation,1.0,1.0,24,24,1.0,24
2,restoration,1.0,1.0,117,117,1.0,117
