replication,loss__delta_prop,loss__delta_rec,loss__delta_int,loss__total,Lambda__delta_prop,Lambda__delta_rec,Lambda__delta_int,Lambda__total,T_rec__delta_prop,T_rec__delta_rec,T_rec__delta_int,T_rec__total,T_rec_bounded__delta_prop,T_rec_bounded__delta_rec,T_rec_bounded__delta_int,T_rec_bounded__total,lock_in__delta_prop,lock_in__delta_rec,lock_in__delta_int,lock_in__total,any_censored
0,0.01468057824074076,0.006848060417444901,0.09864055973419239,0.12016919839237805,0.062000000000000055,0.0,0.0,0.062000000000000055,0.0,18.0,,,0.0,18.0,645.0,663.0,0.0,0.0,1.0,1.0,True
1,0.011454114722222242,0.007030495189594532,0.06280736099124207,0.08129197090305884,0.05260000000000009,0.0,0.0,0.05260000000000009,0.0,17.0,,,0.0,17.0,629.0,646.0,0.0,0.0,1.0,1.0,True
2,0.009874169444444525,0.004171659876543332,0.06892122058866912,0.08296704990965698,0.05599999999999994,0.0,0.0,0.05599999999999994,0.0,11.0,,,0.0,11.0,669.0,680.0,0.0,0.0,1.0,1.0,True
3,0.009820755555555505,0.0018106679629629197,0.07602297948622916,0.08765440300474758,0.07179999999999986,0.0,0.0,0.07179999999999986,1.0,6.0,,,1.0,6.0,710.0,717.0,0.0,0.0,1.0,1.0,True
4,0.01292933499999993,0.011139249788359562,0.09476518162319247,0.11883376641155197,0.08240000000000014,0.0,0.0,0.08240000000000014,0.0,26.0,,,0.0,26.0,637.0,663.0,0.0,0.0,1.0,1.0,True
5,0.007197159104938233,0.0015112362060378803,0.038588824869207894,0.04729722018018401,0.047599999999999865,0.0,0.0,0.047599999999999865,0.0,6.0,,,0.0,6.0,723.0,729.0,0.0,0.0,1.0,1.0,True
6,0.017724762962963103,0.026053444467787124,0.1659601013719152,0.20973830880266542,0.09599999999999997,0.0,0.0,0.09599999999999997,0.0,50.0,,,0.0,50.0,512.0,562.0,0.0,0.0,1.0,1.0,True
7,0.007228130123456689,0.0010877037213402607,0.038622739317353605,0.046938573162150554,0.07780000000000009,0.0,0.0,0.07780000000000009,0.0,5.0,,,0.0,5.0,733.0,738.0,0.0,0.0,1.0,1.0,True
8,0.006235906666666735,0.004075599206349256,0.0030011570541842447,0.013312662927200236,0.04059999999999997,0.0,0.0,0.04059999999999997,0.0,12.0,10.0,22.0,0.0,12.0,10.0,22.0,0.0,0.0,0.0,0.0,False
9,0.012534681666666714,0.019364623261754366,0.11979103059977658,0.15169033552819766,0.059599999999999875,0.0,0.0,0.059599999999999875,0.0,44.0,,,0.0,44.0,599.0,643.0,0.0,0.0,1.0,1.0,True
10,0.005770773333333312,0.0047443576719576885,0.03442640878385006,0.04494153978914106,0.03359999999999996,0.0,0.0,0.03359999999999996,0.0,18.0,,,0.0,18.0,731.0,749.0,0.0,0.0,1.0,1.0,True
11,0.014243111574073986,0.05382782546490816,0.10076251167221228,0.16883344871119443,0.035800000000000054,0.0,0.0,0.035800000000000054,1.0,95.0,,,1.0,95.0,410.0,506.0,0.0,0.0,1.0,1.0,True
12,0.013474453703703704,0.005499768868658661,0.005024320330994203,0.023998542903356568,0.08060000000000012,0.0,0.0,0.08060000000000012,1.0,14.0,11.0,26.0,1.0,14.0,11.0,26.0,0.0,0.0,0.0,0.0,False
13,0.023321590740740694,0.02580722673773206,0.09509986511317081,0.14422868259164356,0.07599999999999996,0.0,0.0,0.07599999999999996,0.0,48.0,,,0.0,48.0,527.0,575.0,0.0,0.0,1.0,1.0,True
14,0.015531289583333385,0.007541054991534346,0.09812677834849015,0.12119912292335788,0.09179999999999999,0.0,0.0,0.09179999999999999,0.0,20.0,,,0.0,20.0,620.0,640.0,0.0,0.0,1.0,1.0,True
15,0.00845583833333341,0.008908113228714432,0.06495648955236255,0.08232044111441039,0.020000000000000018,0.0,0.0,0.020000000000000018,0.0,22.0,,,0.0,22.0,625.0,647.0,0.0,0.0,1.0,1.0,True
16,0.01766834499999992,0.015190640372362396,0.08699409853734452,0.11985308390970684,0.08240000000000003,0.0,0.0,0.08240000000000003,0.0,29.0,,,0.0,29.0,575.0,604.0,0.0,0.0,1.0,1.0,True
17,0.013697882592592636,0.009048755792094743,0.1387315386317176,0.161478177016405,0.07779999999999998,0.0,0.0,0.07779999999999998,0.0,24.0,,,0.0,24.0,642.0,666.0,0.0,0.0,1.0,1.0,True
18,0.02050681293209866,0.01844365599734399,0.07573248167493041,0.11468295060437306,0.06999999999999995,0.0,0.0,0.06999999999999995,0.0,38.0,,,0.0,38.0,539.0,577.0,0.0,0.0,1.0,1.0,True
19,0.02230585987654321,0.010627226269135703,0.1259479781069972,0.15888106425267612,0.1439999999999999,0.0,0.0,0.1439999999999999,0.0,24.0,,,0.0,24.0,600.0,624.0,0.0,0.0,1.0,1.0,True
20,0.014138289567901197,0.01214802394212322,0.05740201114942589,0.08368832465945031,0.07820000000000005,0.0,0.0,0.07820000000000005,0.0,29.0,,,0.0,29.0,623.0,652.0,0.0,0.0,1.0,1.0,True
21,0.0178987111111113,0.022025288734567994,0.11667535946499641,0.1565993593106757,0.08560000000000001,0.0,0.0,0.08560000000000001,1.0,42.0,,,1.0,42.0,551.0,594.0,0.0,0.0,1.0,1.0,True
22,0.004877100000000079,0.0021052485185186764,0.03656716938190763,0.04354951790042638,0.028000000000000136,0.0,0.0,0.028000000000000136,0.0,7.0,,,0.0,7.0,731.0,738.0,0.0,0.0,1.0,1.0,True
23,0.0131364816666667,0.009015303930127505,0.09648186013396531,0.11863364573075952,0.04380000000000006,0.0,0.0,0.04380000000000006,0.0,23.0,,,0.0,23.0,642.0,665.0,0.0,0.0,1.0,1.0,True
24,0.017169522222222233,0.013518242116402068,0.15800357976197243,0.18869134410059674,0.09399999999999997,0.0,0.0,0.09399999999999997,1.0,35.0,,,1.0,35.0,595.0,631.0,0.0,0.0,1.0,1.0,True
25,0.01477607555555549,0.027979553188608675,0.10750365437936271,0.15025928312352688,0.06000000000000005,0.0,0.0,0.06000000000000005,0.0,58.0,,,0.0,58.0,535.0,593.0,0.0,0.0,1.0,1.0,True
26,0.008602457037036992,0.0012385395767194884,0.002058609891982033,0.011899606505738514,0.04379999999999995,0.0,0.0,0.04379999999999995,1.0,5.0,5.0,11.0,1.0,5.0,5.0,11.0,0.0,0.0,0.0,0.0,False
27,0.013537066666666653,0.005072273260192994,0.13864424479829296,0.1572535847251526,0.0958,0.0,0.0,0.0958,0.0,14.0,,,0.0,14.0,654.0,668.0,0.0,0.0,1.0,1.0,True
28,0.00641905888888894,0.00548044742962972,0.03071324221130034,0.042612748529819,0.020000000000000018,0.0,0.0,0.020000000000000018,0.0,17.0,,,0.0,17.0,699.0,716.0,0.0,0.0,1.0,1.0,True
29,0.006872545092592497,0.0014125039526921013,0.0026767924695965117,0.01096184151488111,0.023799999999999932,0.0,0.0,0.023799999999999932,0.0,6.0,8.0,14.0,0.0,6.0,8.0,14.0,0.0,0.0,0.0,0.0,False
30,0.023324754243827073,0.03771389548765425,0.12669334216814132,0.18773199189962264,0.08800000000000008,0.0,0.0,0.08800000000000008,0.0,67.0,,,0.0,67.0,474.0,541.0,0.0,0.0,1.0,1.0,True
31,0.02005514425925936,0.01023616359434587,0.09935293970879189,0.12964424756239712,0.10200000000000009,0.0,0.0,0.10200000000000009,0.0,23.0,,,0.0,23.0,591.0,614.0,0.0,0.0,1.0,1.0,True
32,0.011536208225308653,0.016366910578659688,0.08312120419305746,0.1110243229970258,0.0404000000000001,0.0,0.0,0.0404000000000001,0.0,33.0,,,0.0,33.0,590.0,623.0,0.0,0.0,1.0,1.0,True
33,0.01138197222222237,0.016354225417574586,0.06154086155743632,0.08927705919723328,0.042400000000000104,0.0,0.0,0.042400000000000104,1.0,37.0,,,1.0,37.0,583.0,621.0,0.0,0.0,1.0,1.0,True
34,0.012194545061728457,0.013997634430075623,0.08478792635701604,0.11098010584882012,0.03399999999999992,0.0,0.0,0.03399999999999992,1.0,32.0,,,1.0,32.0,568.0,601.0,0.0,0.0,1.0,1.0,True
35,0.017167421481481537,0.006126586080423269,0.05940851135833214,0.08270251892023694,0.04599999999999993,0.0,0.0,0.04599999999999993,2.0,16.0,,,2.0,16.0,559.0,577.0,0.0,0.0,1.0,1.0,True
36,0.01130749722222224,0.007196200185185075,0.1029752147007732,0.12147891210818051,0.05580000000000007,0.0,0.0,0.05580000000000007,1.0,19.0,,,1.0,19.0,673.0,693.0,0.0,0.0,1.0,1.0,True
37,0.011770808518518416,0.005603911710758247,0.00532917095035268,0.022703891179629343,0.07600000000000007,0.0,0.0,0.07600000000000007,0.0,14.0,12.0,26.0,0.0,14.0,12.0,26.0,0.0,0.0,0.0,0.0,False
38,0.020151093981481405,0.05221848564814813,0.09557240955873081,0.16794198918836034,0.052200000000000024,0.0,0.0,0.052200000000000024,0.0,86.0,,,0.0,86.0,389.0,475.0,0.0,0.0,1.0,1.0,True
39,0.011743347592592546,0.020483125434640592,0.08502702267966189,0.11725349570689503,0.060000000000000164,0.0,0.0,0.060000000000000164,0.0,47.0,,,0.0,47.0,609.0,656.0,0.0,0.0,1.0,1.0,True
40,0.005619435185185262,0.0018635930687830315,0.03715399613873949,0.04463702439270778,0.019999999999999907,0.0,0.0,0.019999999999999907,0.0,7.0,,,0.0,7.0,722.0,729.0,0.0,0.0,1.0,1.0,True
41,0.007602610277777755,0.011022165848941778,0.05980489699736902,0.07842967312408855,0.0,0.0,0.0,0.0,1.0,32.0,,,1.0,32.0,654.0,687.0,0.0,0.0,1.0,1.0,True
42,0.011387887654320972,0.017809168179012347,0.09517139651157214,0.12436845234490546,0.07040000000000013,0.0,0.0,0.07040000000000013,1.0,39.0,,,1.0,39.0,603.0,643.0,0.0,0.0,1.0,1.0,True
43,0.013253149691357935,0.022755644845678935,0.1228572731622598,0.15886606769929668,0.06980000000000008,0.0,0.0,0.06980000000000008,2.0,53.0,,,2.0,53.0,590.0,645.0,0.0,0.0,1.0,1.0,True
44,0.019344564197530834,0.01583979508641964,0.08561376822271682,0.1207981275066673,0.07820000000000005,0.0,0.0,0.07820000000000005,0.0,30.0,,,0.0,30.0,534.0,564.0,0.0,0.0,1.0,1.0,True
45,0.007622194567901253,0.008352413708372253,0.030566892816126456,0.04654150109239996,0.05779999999999996,0.0,0.0,0.05779999999999996,0.0,23.0,,,0.0,23.0,679.0,702.0,0.0,0.0,1.0,1.0,True
46,0.008941920308641937,0.012434639899781996,0.09612705295878166,0.11750361316720559,0.04420000000000002,0.0,0.0,0.04420000000000002,0.0,30.0,,,0.0,30.0,650.0,680.0,0.0,0.0,1.0,1.0,True
