R,loss,Lambda,F_min,t_min,T_rec,T_rec_censored,T_rec_bound,lock_in,F_end,arm,indicator,replication,seed_hazard,q_prop,kappa_prop,q_rec,kappa_rec,psi_prop,psi_rec,frac_damaged
0.9353926388888889,0.0646073611111111,0.4325000000000001,0.5674999999999999,44.0,213.0,False,876.0,0.0,1.0,00,operational,0,0,0.6,0.8,0.6,0.8,0.48,0.48,0.725
0.9207120606481481,0.07928793935185185,0.49450000000000016,0.5054999999999998,53.0,213.0,False,876.0,0.0,1.0,10,operational,0,0,0.6,0.8,0.6,0.8,0.48,0.48,0.725
0.928544578471444,0.071455421528556,0.4325000000000001,0.5674999999999999,44.0,231.0,False,876.0,0.0,1.0,01,operational,0,0,0.6,0.8,0.6,0.8,0.48,0.48,0.725
0.8152234404965109,0.18477655950348915,0.49450000000000016,0.5054999999999998,53.0,,True,876.0,1.0,0.8650000000000002,11,operational,0,0,0.6,0.8,0.6,0.8,0.48,0.48,0.725
0.9191608333333334,0.08083916666666657,0.5199999999999999,0.4800000000000001,44.0,230.0,False,876.0,0.0,1.0,00,operational,1,1,0.6,0.8,0.6,0.8,0.48,0.48,0.775
0.9077067186111112,0.09229328138888881,0.5726,0.4274,53.0,230.0,False,876.0,0.0,1.0,10,operational,1,1,0.6,0.8,0.6,0.8,0.48,0.48,0.775
0.9121303381437389,0.0878696618562611,0.5199999999999999,0.4800000000000001,44.0,247.0,False,876.0,0.0,1.0,01,operational,1,1,0.6,0.8,0.6,0.8,0.48,0.48,0.775
0.8378688624302746,0.16213113756972541,0.5726,0.4274,53.0,,True,876.0,1.0,0.9100000000000001,11,operational,1,1,0.6,0.8,0.6,0.8,0.48,0.48,0.775
0.9379070833333334,0.06209291666666661,0.4625,0.5375,44.0,196.0,False,876.0,0.0,1.0,00,operational,2,2,0.6,0.8,0.6,0.8,0.48,0.48,0.775
0.9280329138888889,0.07196708611111113,0.5185,0.48150000000000004,54.0,196.0,False,876.0,0.0,1.0,10,operational,2,2,0.6,0.8,0.6,0.8,0.48,0.48,0.775
0.9337354234567901,0.06626457654320994,0.4625,0.5375,44.0,207.0,False,876.0,0.0,1.0,01,operational,2,2,0.6,0.8,0.6,0.8,0.48,0.48,0.775
0.8549400334236764,0.14505996657632358,0.5185,0.48150000000000004,54.0,,True,876.0,1.0,0.9100000000000001,11,operational,2,2,0.6,0.8,0.6,0.8,0.48,0.48,0.775
0.9565138888888889,0.043486111111111114,0.3975000000000001,0.6024999999999999,44.0,159.0,False,876.0,0.0,1.0,00,operational,3,3,0.6,0.8,0.6,0.8,0.48,0.48,0.675
0.9466931333333334,0.05330686666666662,0.46929999999999994,0.5307000000000001,54.0,160.0,False,876.0,0.0,1.0,10,operational,3,3,0.6,0.8,0.6,0.8,0.48,0.48,0.675
0.954703220925926,0.045296779074074034,0.3975000000000001,0.6024999999999999,44.0,165.0,False,876.0,0.0,1.0,01,operational,3,3,0.6,0.8,0.6,0.8,0.48,0.48,0.675
0.8688594858841413,0.1311405141158587,0.46929999999999994,0.5307000000000001,54.0,,True,876.0,1.0,0.9099999999999999,11,operational,3,3,0.6,0.8,0.6,0.8,0.48,0.48,0.675
0.9295133333333332,0.07048666666666681,0.48749999999999993,0.5125000000000001,44.0,213.0,False,876.0,0.0,1.0,00,operational,4,4,0.6,0.8,0.6,0.8,0.48,0.48,0.7
0.9165839983333333,0.08341600166666674,0.5699000000000001,0.4300999999999999,55.0,213.0,False,876.0,0.0,1.0,10,operational,4,4,0.6,0.8,0.6,0.8,0.48,0.48,0.7
0.9183740835449736,0.08162591645502637,0.48749999999999993,0.5125000000000001,44.0,239.0,False,876.0,0.0,1.0,01,operational,4,4,0.6,0.8,0.6,0.8,0.48,0.48,0.7
0.8106795669217812,0.18932043307821877,0.5699000000000001,0.4300999999999999,55.0,,True,876.0,1.0,0.865,11,operational,4,4,0.6,0.8,0.6,0.8,0.48,0.48,0.7
0.9633745833333333,0.036625416666666744,0.3500000000000001,0.6499999999999999,44.0,147.0,False,876.0,0.0,1.0,00,operational,5,5,0.6,0.8,0.6,0.8,0.48,0.48,0.675
0.956177424228395,0.04382257577160498,0.39759999999999995,0.6024,55.0,147.0,False,876.0,0.0,1.0,10,operational,5,5,0.6,0.8,0.6,0.8,0.48,0.48,0.675
0.9618633471272954,0.038136652872704624,0.3500000000000001,0.6499999999999999,44.0,153.0,False,876.0,0.0,1.0,01,operational,5,5,0.6,0.8,0.6,0.8,0.48,0.48,0.675
0.9160773631531492,0.08392263684685075,0.39759999999999995,0.6024,55.0,,True,876.0,1.0,0.9550000000000001,11,operational,5,5,0.6,0.8,0.6,0.8,0.48,0.48,0.675
0.8655709722222222,0.13442902777777777,0.645,0.3549999999999999,44.0,314.0,False,876.0,0.0,1.0,00,operational,6,6,0.6,0.8,0.6,0.8,0.48,0.48,0.925
0.8478462092592591,0.15215379074074087,0.741,0.259,46.0,314.0,False,876.0,0.0,1.0,10,operational,6,6,0.6,0.8,0.6,0.8,0.48,0.48,0.925
0.8395175277544351,0.1604824722455649,0.645,0.3549999999999999,44.0,364.0,False,876.0,0.0,1.0,01,operational,6,6,0.6,0.8,0.6,0.8,0.48,0.48,0.925
0.6558326634195568,0.3441673365804432,0.741,0.259,46.0,,True,876.0,1.0,0.7299999999999999,11,operational,6,6,0.6,0.8,0.6,0.8,0.48,0.48,0.925
0.9683646527777777,0.031635347222222276,0.3125,0.6875,42.0,138.0,False,876.0,0.0,1.0,00,operational,7,7,0.6,0.8,0.6,0.8,0.48,0.48,0.6
0.961136522654321,0.038863477345678965,0.3903000000000001,0.6096999999999999,51.0,138.0,False,876.0,0.0,1.0,10,operational,7,7,0.6,0.8,0.6,0.8,0.48,0.48,0.6
0.9672769490564375,0.03272305094356254,0.3125,0.6875,42.0,143.0,False,876.0,0.0,1.0,01,operational,7,7,0.6,0.8,0.6,0.8,0.48,0.48,0.6
0.9214260796156272,0.07857392038437283,0.3903000000000001,0.6096999999999999,51.0,,True,876.0,1.0,0.9550000000000001,11,operational,7,7,0.6,0.8,0.6,0.8,0.48,0.48,0.6
0.9515415277777778,0.048458472222222215,0.42000000000000004,0.58,44.0,169.0,False,876.0,0.0,1.0,00,operational,8,8,0.6,0.8,0.6,0.8,0.48,0.48,0.625
0.945305621111111,0.05469437888888895,0.4606,0.5394,53.0,169.0,False,876.0,0.0,1.0,10,operational,8,8,0.6,0.8,0.6,0.8,0.48,0.48,0.625
0.9474659285714285,0.05253407142857147,0.42000000000000004,0.58,44.0,181.0,False,876.0,0.0,1.0,01,operational,8,8,0.6,0.8,0.6,0.8,0.48,0.48,0.625
0.9382288648505775,0.06177113514942245,0.4606,0.5394,53.0,191.0,False,876.0,0.0,1.0,11,operational,8,8,0.6,0.8,0.6,0.8,0.48,0.48,0.625
0.9205475,0.07945250000000004,0.4950000000000001,0.5049999999999999,44.0,233.0,False,876.0,0.0,1.0,00,operational,9,9,0.6,0.8,0.6,0.8,0.48,0.48,0.825
0.9080128183333332,0.09198718166666675,0.5546,0.44539999999999996,55.0,233.0,False,876.0,0.0,1.0,10,operational,9,9,0.6,0.8,0.6,0.8,0.48,0.48,0.825
0.9011828767382456,0.0988171232617544,0.4950000000000001,0.5049999999999999,44.0,277.0,False,876.0,0.0,1.0,01,operational,9,9,0.6,0.8,0.6,0.8,0.48,0.48,0.825
0.7688571644718023,0.2311428355281977,0.5546,0.44539999999999996,55.0,,True,876.0,1.0,0.82,11,operational,9,9,0.6,0.8,0.6,0.8,0.48,0.48,0.825
0.9726275,0.027372500000000022,0.29500000000000015,0.7049999999999998,44.0,127.0,False,876.0,0.0,1.0,00,operational,10,10,0.6,0.8,0.6,0.8,0.48,0.48,0.65
0.9668567266666667,0.033143273333333334,0.3286000000000001,0.6713999999999999,54.0,127.0,False,876.0,0.0,1.0,10,operational,10,10,0.6,0.8,0.6,0.8,0.48,0.48,0.65
0.9678831423280423,0.03211685767195771,0.29500000000000015,0.7049999999999998,44.0,145.0,False,876.0,0.0,1.0,01,operational,10,10,0.6,0.8,0.6,0.8,0.48,0.48,0.65
0.9276859602108589,0.07231403978914108,0.3286000000000001,0.6713999999999999,54.0,,True,876.0,1.0,0.9550000000000001,11,operational,10,10,0.6,0.8,0.6,0.8,0.48,0.48,0.65
0.8271726388888889,0.17282736111111108,0.7174999999999999,0.2825000000000001,44.0,370.0,False,876.0,0.0,1.0,00,operational,11,11,0.6,0.8,0.6,0.8,0.48,0.48,0.875
0.8129295273148149,0.18707047268518506,0.7533,0.2467,50.0,371.0,False,876.0,0.0,1.0,10,operational,11,11,0.6,0.8,0.6,0.8,0.48,0.48,0.875
0.7733448134239808,0.22665518657601924,0.7174999999999999,0.2825000000000001,44.0,465.0,False,876.0,0.0,1.0,01,operational,11,11,0.6,0.8,0.6,0.8,0.48,0.48,0.875
0.6583391901776945,0.3416608098223055,0.7533,0.2467,50.0,,True,876.0,1.0,0.7749999999999999,11,operational,11,11,0.6,0.8,0.6,0.8,0.48,0.48,0.875
0.9214294444444444,0.07857055555555559,0.5425,0.4575,44.0,219.0,False,876.0,0.0,1.0,00,operational,12,12,0.6,0.8,0.6,0.8,0.48,0.48,0.75
0.9079549907407407,0.09204500925925929,0.6231000000000001,0.3768999999999999,54.0,220.0,False,876.0,0.0,1.0,10,operational,12,12,0.6,0.8,0.6,0.8,0.48,0.48,0.75
0.9159296755757858,0.08407032442421425,0.5425,0.4575,44.0,233.0,False,876.0,0.0,1.0,01,operational,12,12,0.6,0.8,0.6,0.8,0.48,0.48,0.75
0.8974309015410878,0.10256909845891216,0.6231000000000001,0.3768999999999999,54.0,245.0,False,876.0,0.0,1.0,11,operational,12,12,0.6,0.8,0.6,0.8,0.48,0.48,0.75
0.8690199999999999,0.1309800000000001,0.6625000000000001,0.33749999999999997,44.0,301.0,False,876.0,0.0,1.0,00,operational,13,13,0.6,0.8,0.6,0.8,0.48,0.48,0.875
0.8456984092592592,0.1543015907407408,0.7385,0.26149999999999995,54.0,301.0,False,876.0,0.0,1.0,10,operational,13,13,0.6,0.8,0.6,0.8,0.48,0.48,0.875
0.8432127732622678,0.15678722673773215,0.6625000000000001,0.33749999999999997,44.0,349.0,False,876.0,0.0,1.0,01,operational,13,13,0.6,0.8,0.6,0.8,0.48,0.48,0.875
